# Nombre	ID Item	ID Muerto	ID cocinado	Probabilidad+1	Probabilidad+2	Probabilidad+3	Probabilidad+4	Probabilidad+5	Probabilidad+6	Probabilidad+7	Probabilidad+8	Probabilidad+9	Dificultad	Tiempo	Longitud 0	Longitud 1	Longitud 2	USED0	USED1	USED2	USED3	USED4	USED5	USED6	USED7	USED8	USED9
²Î	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pez Pequeño	27802	0	0	300	300	300	300	300	300	300	300	300	5	5	350	450	790	1	1	1	1	1	1	1	1	1	1
Lucioperca	27803	27833	27862	0	0	0	0	0	0	0	0	0	5	5	360	460	790	1	1	1	1	1	1	1	1	1	1
LuciopercaGrande	27804	27834	27863	0	0	0	0	0	0	0	0	0	5	5	370	470	790	1	1	1	1	1	1	1	1	1	1
PezMandarín	27805	27835	27864	64	65	67	69	71	73	77	79	84	5	5	380	480	790	1	1	1	1	1	1	1	1	1	1
Carpa	27806	27836	27865	61	62	64	66	68	70	74	76	81	5	5	390	490	790	1	1	1	1	1	1	1	1	1	1
Salmón	27807	27837	27866	58	59	61	63	65	67	71	73	78	5	5	400	500	790	1	1	1	1	1	1	1	1	1	1
CarpaHerbívora	27808	27838	27867	55	56	58	60	62	64	68	70	75	5	5	410	510	790	1	1	1	1	1	1	1	1	1	1
TruchaArroyo	27809	27839	27868	52	53	55	57	59	61	65	67	72	5	5	420	520	790	1	1	1	1	1	1	1	1	1	1
Anguila	27810	27840	27869	49	50	52	54	56	58	62	64	69	5	5	430	530	790	1	1	1	1	1	1	1	1	1	1
TruchaArcoIris	27811	27841	27870	46	47	49	51	53	55	59	61	66	5	5	440	540	790	1	1	1	1	1	1	1	1	1	1
TruchaRío	27812	27842	27871	43	44	46	48	50	52	56	58	63	5	5	450	550	790	1	1	1	1	1	1	1	1	1	1
Gardí	27813	27843	27872	40	41	43	45	47	49	53	55	60	5	5	460	560	790	1	1	1	1	1	1	1	1	1	1
Perca	27814	27844	27873	37	38	40	42	44	46	50	52	57	5	5	470	570	790	1	1	1	1	1	1	1	1	1	1
Tenchi	27815	27845	27874	34	35	37	39	41	43	47	49	54	5	5	480	580	790	1	1	1	1	1	1	1	1	1	1
Barbo	27816	27846	27875	31	32	34	36	38	40	44	46	51	5	5	490	590	790	1	1	1	1	1	1	1	1	1	1
Locha	27817	27847	27876	28	29	31	33	35	37	41	43	48	5	5	500	600	790	1	1	1	1	1	1	1	1	1	1
PezLoto	27818	27848	27877	25	26	28	30	32	34	38	40	45	5	5	510	610	790	1	1	1	1	1	1	1	1	1	1
Ayu	27819	27849	27878	22	23	25	27	29	31	35	37	42	5	5	520	620	790	1	1	1	1	1	1	1	1	1	1
Eperlano	27820	27850	27879	19	20	22	24	26	28	32	34	39	5	5	530	630	790	1	1	1	1	1	1	1	1	1	1
Shiri	27821	27851	27880	16	17	19	21	23	25	29	31	36	5	5	540	640	790	1	1	1	1	1	1	1	1	1	1
CarpaEspejo	27822	27852	27881	13	14	16	18	20	22	26	28	33	5	5	550	650	790	1	1	1	1	1	1	1	1	1	1
CarpaDorada	27823	27853	27882	10	11	13	15	17	19	23	25	30	5	5	560	660	790	1	1	1	1	1	1	1	1	1	1
Almeja	27987	0	27883	375	375	375	375	375	375	375	375	375	5	5	670	670	790	1	1	1	1	1	1	1	1	1	1
CajaMaderaPodrida	50124	0	0	0	0	0	0	0	0	0	0	0															
				10000	10000	10000	10000	10000	10000	10000	10000	10000															
