Group	a1_01		
{			
	Vnum	101	
	1	101	1
	2	171	1
}			
Group	a1_02		
{			
	Vnum	102	
	1	101	1
	2	102	1
	3	103	1
	4	104	1
	5	171	1
	6	172	1
	7	173	1
	8	174	1
}			
Group	a1_03		
{			
	Vnum	103	
	1	105	1
	2	106	1
	3	173	1
	4	174	1
}			
			
Group	a1_04		
{			
	Vnum	104	
	1	107	1
	2	108	1
	3	109	1
	4	110	1
	5	175	1
	6	176	1
	7	177	1
	8	178	1
	9	179	1
}			
Group	a1_05		
{			
	Vnum	105	
			
	1	112	1
	2	113	1
	3	114	1
	4	115	1
	5	116	1
	6	178	1
	7	179	1
	8	180	1
	9	181	1
}			
Group	a1_06		
{			
	Vnum	106	
	1	118	10
	2	119	10
	3	120	10
	4	121	10
	5	122	10
	6	180	15
	7	181	15
	8	182	15
	9	183	15
}			
Group	a1_07		
{			
	Vnum	107	
	1	124	1
	2	125	1
	3	126	1
	4	184	1
	5	185	1
}			
Group	a1_08		
{			
	Vnum	108	
	1	305	1
	2	306	1
	3	307	1
	4	351	1
	5	352	1
}			
Group	a1_09		
{			
	Vnum	109	
	1	308	1
	2	309	1
	3	310	1
	4	313	1
	5	351	1
	6	352	1
	7	395	1
	8	396	1
}			
Group	a1_10		
{			
	Vnum	110	
	1	309	1
	2	310	1
	3	313	1
	4	315	1
	5	316	1
	6	317	1
	7	395	1
	8	396	1
	9	398	1
	10	397	1
}	
Group	a1_11		
{			
	Vnum	111	
	1	30009	1
	2	30010	1
	3	137	1
	4	136	1
	5	135	1
}		
Group	a3_01		
{			
	Vnum	201	
	1	401	1
	2	402	1
	3	403	1
	4	453	1
	5	454	1
}			
Group	a3_02		
{			
	Vnum	202	
	1	404	1
	2	405	1
	3	406	1
	4	453	1
	5	454	1
}			
Group	a3_03		
{			
	Vnum	203	
	1	407	1
	2	408	1
	3	409	1
	4	410	1
	5	411	1
	6	455	2
	7	456	2
}			
Group	a3_04		
{			
	Vnum	204	
	1	501	1
	2	502	1
	3	503	1
	4	551	2
	5	552	2
}			
Group	a3_05		
{			
	Vnum	205	
	1	504	1
	2	505	1
	3	506	1
	4	507	1
	5	554	2
	6	553	2
}			
Group	a3_06		
{			
	Vnum	206	
	1	305	1
	2	306	1
	3	307	1
	4	308	1
}			
Group	n3way_01		
{			
	Vnum	301	
	1	601	1
	2	602	1
	3	603	1
	4	604	1
	5	651	1
	6	653	1
	7 	658 1
}			
Group	n3way_02		
{			
	Vnum	302	
	1	605	1
	2	606	1
	3	607	1
	4	608	1
	5	609	1
	6	610	1
	7	652	2
}			
Group	n3way_03		
{			
	Vnum	303	
	1	611	1
	2	612	1
	3	613	1
	4	614	1
	5	654	1
	6	655	1
	7	656	1
}			
Group	n3way_04		
{			
	Vnum	304	
	1	614	1
	2	615	1
	3	616	1
	4	617	1
	5	656	1
	6	657	2
}			
Group	n3way_05		
{			
	Vnum	305	
	1	701	1
	2	702	1
	3	703	1
	4	704	1
	5	705	1
	6	706	1
	7	751	7
}			
Group	n3way_06		
{			
	Vnum	306	
	1	707	1
	2	708	1
	3	709	1
	4	710	1
	5	711	1
	6	712	1
}			
Group	de_01		
{			
	Vnum	401	
	1	1301	1
	2	1302	1
	3	1303	1
	4	2001	1
	5	2002	1
	6	2003	1
	7	4071	3
	8	4072	3
}			
Group	de_02		
{			
	Vnum	402	
	1	1304	1
	2	1305	1
	3	2004	1
	4	2005	1
	5	4074	3
	6	4075	3
}			
Group	de_03		
{			
	Vnum	403	
	1	1306	1
	2	1307	1
	3	2006	1
	4	2007	1
	5	2158	4
}			
Group	de_04		
{			
	Vnum	404	
	1	1308	1
	2	1309	1
	3	1310	1
	4	2008	1
	5	2009	1
	6	2131	1
	7	2158	4
}			
Group	seohan_01		
{			
	Vnum	501	
	1	901	1
	2	902	1
	3	903	1
	4	904	1
	5	905	1
	6	933	4
}			
Group	seohan_02		
{			
	Vnum	502	
	1	906	1
	2	907	1
	3	908	1
	4	909	1
	5	910	1
	6	936	5
}			
Group	seohan_03		
{			
	Vnum	503	
	1	911	1
	2	912	1
	3	913	1
}			
Group	seohan_04		
{			
	Vnum	504	
	1	1101	1
	2	1102	1
	3	1103	1
	4	1104	1
	5	1171	4
}			
Group	seohan_05		
{			
	Vnum	505	
	1	1106	1
	2	1107	1
	3	1108	1
	4	1105	1
	5	1171	4
}			
Group	seohan_06		
{			
	Vnum	506	
	1	1109	1
	2	1110	1
	3	1111	1
	4	1171	3
}			
Group	seohan_07		
{			
	Vnum	507	
	1	1111	1
	2	1112	1
