//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	696	309	5	5	0	0	90s	100	1	6571
r	722	304	5	5	0	0	90s	100	1	6571
r	751	314	5	5	0	0	90s	100	1	6571
r	771	327	5	5	0	0	90s	100	1	6571
r	782	319	5	5	0	0	90s	100	1	6571
r	763	281	5	5	0	0	90s	100	1	6571
r	787	276	5	5	0	0	90s	100	1	6571
r	805	284	5	5	0	0	90s	100	1	6571
r	799	268	5	5	0	0	90s	100	1	6571
r	792	257	5	5	0	0	90s	100	1	6571
r	803	242	5	5	0	0	90s	100	1	6571
r	819	206	5	5	0	0	90s	100	1	6571
r	839	203	5	5	0	0	90s	100	1	6571
r	848	218	5	5	0	0	90s	100	1	6571
r	827	253	5	5	0	0	90s	100	1	6571
r	818	271	5	5	0	0	90s	100	1	6571
r	834	275	5	5	0	0	90s	100	1	6571
r	864	258	5	5	0	0	90s	100	1	6571
r	870	232	5	5	0	0	90s	100	1	6571
r	871	208	5	5	0	0	90s	100	1	6571
r	896	208	5	5	0	0	90s	100	1	6571
r	925	208	5	5	0	0	90s	100	1	6571
r	905	176	5	5	0	0	90s	100	1	6571
r	893	156	5	5	0	0	90s	100	1	6571
r	894	152	5	5	0	0	90s	100	1	6571
r	902	154	5	5	0	0	90s	100	1	6571
r	930	173	5	5	0	0	90s	100	1	6571
r	914	198	5	5	0	0	90s	100	1	6571
r	930	195	5	5	0	0	90s	100	1	6571
r	907	182	5	5	0	0	90s	100	1	6571
r	875	206	5	5	0	0	90s	100	1	6571
r	839	218	5	5	0	0	90s	100	1	6571
r	815	233	5	5	0	0	90s	100	1	6571
r	803	236	5	5	0	0	90s	100	1	6571
r	809	224	5	5	0	0	90s	100	1	6571
r	992	196	5	5	0	0	90s	100	1	6571
r	1016	207	5	5	0	0	90s	100	1	6571
r	1038	227	5	5	0	0	90s	100	1	6571
r	1050	242	5	5	0	0	90s	100	1	6571
r	1053	262	5	5	0	0	90s	100	1	6571
r	1053	277	5	5	0	0	90s	100	1	6571
r	1044	295	5	5	0	0	90s	100	1	6571
r	1051	305	5	5	0	0	90s	100	1	6571
r	1040	382	5	5	0	0	90s	100	1	6571
r	1040	392	5	5	0	0	90s	100	1	6571
r	1029	400	5	5	0	0	90s	100	1	6571
r	1018	409	5	5	0	0	90s	100	1	6571
r	1017	417	5	5	0	0	90s	100	1	6571
r	1019	431	5	5	0	0	90s	100	1	6571
r	1023	444	5	5	0	0	90s	100	1	6571
r	1028	455	5	5	0	0	90s	100	1	6571
r	1038	459	5	5	0	0	90s	100	1	6571
r	1061	457	5	5	0	0	90s	100	1	6571
r	1077	453	5	5	0	0	90s	100	1	6571
r	1089	442	5	5	0	0	90s	100	1	6571
r	1094	418	5	5	0	0	90s	100	1	6571
r	1088	401	5	5	0	0	90s	100	1	6571
r	1081	396	5	5	0	0	90s	100	1	6571
r	1069	394	5	5	0	0	90s	100	1	6571
r	1051	403	5	5	0	0	90s	100	1	6571
r	1053	416	5	5	0	0	90s	100	1	6571
r	1060	431	5	5	0	0	90s	100	1	6571
r	1065	434	5	5	0	0	90s	100	1	6571
r	1046	397	5	5	0	0	90s	100	1	6571
r	1026	414	5	5	0	0	90s	100	1	6571
r	1015	434	5	5	0	0	90s	100	1	6571
r	1015	452	5	5	0	0	90s	100	1	6571
r	1030	465	5	5	0	0	90s	100	1	6571
r	1059	461	5	5	0	0	90s	100	1	6571
r	1071	458	5	5	0	0	90s	100	1	6571
r	1085	445	5	5	0	0	90s	100	1	6571
r	1073	428	5	5	0	0	90s	100	1	6571
r	1053	426	5	5	0	0	90s	100	1	6571
r	981	450	5	5	0	0	90s	100	1	6571
r	948	452	5	5	0	0	90s	100	1	6571
r	937	452	5	5	0	0	90s	100	1	6571
r	936	453	5	5	0	0	90s	100	1	6571
r	920	459	5	5	0	0	90s	100	1	6571
r	907	460	5	5	0	0	90s	100	1	6571
r	891	465	5	5	0	0	90s	100	1	6571
r	876	474	5	5	0	0	90s	100	1	6571
r	866	483	5	5	0	0	90s	100	1	6571
r	849	490	5	5	0	0	90s	100	1	6571
r	844	492	5	5	0	0	90s	100	1	6571
r	868	472	5	5	0	0	90s	100	1	6571
r	867	473	5	5	0	0	90s	100	1	6571
r	827	493	5	5	0	0	90s	100	1	6571
r	814	490	5	5	0	0	90s	100	1	6571
r	804	470	5	5	0	0	90s	100	1	6571
r	791	441	5	5	0	0	90s	100	1	6571
r	789	411	5	5	0	0	90s	100	1	6571
r	795	433	5	5	0	0	90s	100	1	6571
r	807	479	5	5	0	0	90s	100	1	6571
r	814	490	5	5	0	0	90s	100	1	6571
r	803	423	5	5	0	0	90s	100	1	6571
r	803	413	5	5	0	0	90s	100	1	6571
r	844	500	5	5	0	0	90s	100	1	6571
r	851	507	5	5	0	0	90s	100	1	6571
r	866	494	5	5	0	0	90s	100	1	6571
r	837	519	5	5	0	0	90s	100	1	6571
r	804	520	5	5	0	0	90s	100	1	6571
r	792	523	5	5	0	0	90s	100	1	6571
r	784	527	5	5	0	0	90s	100	1	6571
r	798	478	5	5	0	0	90s	100	1	6572
r	783	497	5	5	0	0	90s	100	1	6572
r	773	497	5	5	0	0	90s	100	1	6572
r	791	516	5	5	0	0	90s	100	1	6572
r	826	525	5	5	0	0	90s	100	1	6572
r	836	508	5	5	0	0	90s	100	1	6572
r	766	497	5	5	0	0	90s	100	1	6572
r	735	500	5	5	0	0	90s	100	1	6572
r	715	509	5	5	0	0	90s	100	1	6572
r	719	530	5	5	0	0	90s	100	1	6572
r	725	532	5	5	0	0	90s	100	1	6572
r	734	518	5	5	0	0	90s	100	1	6572
r	735	515	5	5	0	0	90s	100	1	6572
r	744	522	5	5	0	0	90s	100	1	6572
r	736	543	5	5	0	0	90s	100	1	6572
r	747	557	5	5	0	0	90s	100	1	6572
r	759	569	5	5	0	0	90s	100	1	6572
r	753	589	5	5	0	0	90s	100	1	6572
r	734	592	5	5	0	0	90s	100	1	6572
r	739	570	5	5	0	0	90s	100	1	6572
r	722	563	5	5	0	0	90s	100	1	6572
r	716	548	5	5	0	0	90s	100	1	6572
r	687	566	5	5	0	0	90s	100	1	6572
r	674	569	5	5	0	0	90s	100	1	6572
r	648	552	5	5	0	0	90s	100	1	6572
r	641	558	5	5	0	0	90s	100	1	6572
r	636	568	5	5	0	0	90s	100	1	6572
r	649	576	5	5	0	0	90s	100	1	6572
r	682	557	5	5	0	0	90s	100	1	6572
r	633	577	5	5	0	0	90s	100	1	6572
r	596	593	5	5	0	0	90s	100	1	6572
r	584	600	5	5	0	0	90s	100	1	6572
r	567	609	5	5	0	0	90s	100	1	6572
r	629	587	5	5	0	0	90s	100	1	6572
r	570	619	5	5	0	0	90s	100	1	6572
r	562	639	5	5	0	0	90s	100	1	6572
r	535	633	5	5	0	0	90s	100	1	6572
r	529	606	5	5	0	0	90s	100	1	6572
r	516	592	5	5	0	0	90s	100	1	6572
r	514	587	5	5	0	0	90s	100	1	6572
r	501	627	5	5	0	0	90s	100	1	6572
r	499	633	5	5	0	0	90s	100	1	6572
r	528	624	5	5	0	0	90s	100	1	6572
r	532	619	5	5	0	0	90s	100	1	6572
r	389	658	5	5	0	0	90s	100	1	6572
r	384	657	5	5	0	0	90s	100	1	6572
r	357	653	5	5	0	0	90s	100	1	6572
r	356	637	5	5	0	0	90s	100	1	6572
r	331	638	5	5	0	0	90s	100	1	6572
r	316	645	5	5	0	0	90s	100	1	6572
r	295	645	5	5	0	0	90s	100	1	6572
r	291	642	5	5	0	0	90s	100	1	6572
r	296	633	5	5	0	0	90s	100	1	6572
r	270	634	5	5	0	0	90s	100	1	6572
r	255	635	5	5	0	0	90s	100	1	6572
r	247	636	5	5	0	0	90s	100	1	6572
r	226	631	5	5	0	0	90s	100	1	6572
r	210	624	5	5	0	0	90s	100	1	6572
r	193	621	5	5	0	0	90s	100	1	6572
r	188	619	5	5	0	0	90s	100	1	6572
r	184	612	5	5	0	0	90s	100	1	6572
r	189	604	5	5	0	0	90s	100	1	6572
r	209	596	5	5	0	0	90s	100	1	6572
r	218	595	5	5	0	0	90s	100	1	6572
r	233	591	5	5	0	0	90s	100	1	6572
r	244	587	5	5	0	0	90s	100	1	6572
r	250	581	5	5	0	0	90s	100	1	6572
r	253	576	5	5	0	0	90s	100	1	6572
r	236	565	5	5	0	0	90s	100	1	6572
r	225	567	5	5	0	0	90s	100	1	6572
r	220	574	5	5	0	0	90s	100	1	6572
r	203	586	5	5	0	0	90s	100	1	6572
r	190	594	5	5	0	0	90s	100	1	6572
r	174	599	5	5	0	0	90s	100	1	6572
r	139	591	5	5	0	0	90s	100	1	6572
r	135	581	5	5	0	0	90s	100	1	6572
r	139	565	5	5	0	0	90s	100	1	6572
r	148	564	5	5	0	0	90s	100	1	6572
r	159	567	5	5	0	0	90s	100	1	6572
r	168	573	5	5	0	0	90s	100	1	6572
r	179	580	5	5	0	0	90s	100	1	6572
r	192	575	5	5	0	0	90s	100	1	6572
r	192	571	5	5	0	0	90s	100	1	6572
r	180	559	5	5	0	0	90s	100	1	6572
r	176	551	5	5	0	0	90s	100	1	6572
r	188	539	5	5	0	0	90s	100	1	6572
r	193	535	5	5	0	0	90s	100	1	6572
r	212	538	5	5	0	0	90s	100	1	6572
r	224	554	5	5	0	0	90s	100	1	6572
r	190	532	5	5	0	0	90s	100	1	6572
r	197	529	5	5	0	0	90s	100	1	6572
r	423	457	5	5	0	0	90s	100	1	6573
r	407	436	5	5	0	0	90s	100	1	6573
r	403	430	5	5	0	0	90s	100	1	6573
r	401	429	5	5	0	0	90s	100	1	6573
r	396	447	5	5	0	0	90s	100	1	6573
r	386	453	5	5	0	0	90s	100	1	6573
r	371	434	5	5	0	0	90s	100	1	6573
r	366	427	5	5	0	0	90s	100	1	6573
r	389	421	5	5	0	0	90s	100	1	6573
r	379	405	5	5	0	0	90s	100	1	6573
r	369	398	5	5	0	0	90s	100	1	6573
r	361	369	5	5	0	0	90s	100	1	6573
r	353	394	5	5	0	0	90s	100	1	6573
r	343	401	5	5	0	0	90s	100	1	6573
r	339	388	5	5	0	0	90s	100	1	6573
r	339	376	5	5	0	0	90s	100	1	6573
r	306	376	5	5	0	0	90s	100	1	6573
r	285	378	5	5	0	0	90s	100	1	6573
r	262	382	5	5	0	0	90s	100	1	6573
r	250	390	5	5	0	0	90s	100	1	6573
r	278	393	5	5	0	0	90s	100	1	6573
r	242	410	5	5	0	0	90s	100	1	6573
r	239	421	5	5	0	0	90s	100	1	6573
r	235	458	5	5	0	0	90s	100	1	6573
r	224	483	5	5	0	0	90s	100	1	6573
r	222	495	5	5	0	0	90s	100	1	6573
r	233	416	5	5	0	0	90s	100	1	6573
r	234	389	5	5	0	0	90s	100	1	6573
r	234	358	5	5	0	0	90s	100	1	6573
r	234	337	5	5	0	0	90s	100	1	6573
r	207	221	5	5	0	0	90s	100	1	6573
r	187	206	5	5	0	0	90s	100	1	6573
r	181	203	5	5	0	0	90s	100	1	6573
r	174	174	5	5	0	0	90s	100	1	6573
r	180	159	5	5	0	0	90s	100	1	6573
r	194	158	5	5	0	0	90s	100	1	6573
r	206	167	5	5	0	0	90s	100	1	6573
r	208	185	5	5	0	0	90s	100	1	6573
r	200	198	5	5	0	0	90s	100	1	6573
r	181	191	5	5	0	0	90s	100	1	6573
r	171	187	5	5	0	0	90s	100	1	6573
r	158	196	5	5	0	0	90s	100	1	6573
r	190	217	5	5	0	0	90s	100	1	6573
r	205	212	5	5	0	0	90s	100	1	6573
r	216	195	5	5	0	0	90s	100	1	6573
r	220	183	5	5	0	0	90s	100	1	6573
r	232	162	5	5	0	0	90s	100	1	6573
r	241	162	5	5	0	0	90s	100	1	6573
r	240	174	5	5	0	0	90s	100	1	6573
r	235	183	5	5	0	0	90s	100	1	6573
r	259	164	5	5	0	0	90s	100	1	6573
r	270	164	5	5	0	0	90s	100	1	6573
r	296	161	5	5	0	0	90s	100	1	6573
r	309	160	5	5	0	0	90s	100	1	6573
r	327	166	5	5	0	0	90s	100	1	6573
r	312	188	5	5	0	0	90s	100	1	6573
r	279	196	5	5	0	0	90s	100	1	6573
r	274	196	5	5	0	0	90s	100	1	6573
r	286	184	5	5	0	0	90s	100	1	6573
r	292	184	5	5	0	0	90s	100	1	6573

