//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	843	209	20	20	0	0	90s	100	1	60482
m	872	250	20	20	0	0	90s	100	1	60482
m	793	269	20	20	0	0	90s	100	1	60482
m	905	169	20	20	0	0	90s	100	1	60482
m	1084	405	20	20	0	0	90s	100	1	60482
m	1077	450	20	20	0	0	90s	100	1	60482
m	1027	425	20	20	0	0	90s	100	1	60482
m	848	499	20	20	0	0	90s	100	1	60482
m	782	502	20	20	0	0	90s	100	1	60482
m	730	503	20	20	0	0	90s	100	1	60482
m	747	570	20	20	0	0	90s	100	1	60483
m	658	562	20	20	0	0	90s	100	1	60483
m	567	626	20	20	0	0	90s	100	1	60483
m	239	581	20	20	0	0	90s	100	1	60483
m	202	611	20	20	0	0	90s	100	1	60483
m	161	585	20	20	0	0	90s	100	1	60483
m	204	555	20	20	0	0	90s	100	1	60483
m	390	440	20	20	0	0	90s	100	1	60483
m	342	366	20	20	0	0	90s	100	1	60483
m	517	622	20	20	0	0	90s	100	1	60483
m	307	385	20	20	0	0	90s	100	1	60484
m	185	567	20	20	0	0	90s	100	1	60484
m	220	158	20	20	0	0	90s	100	1	60484
m	167	167	20	20	0	0	90s	100	1	60484
m	170	209	20	20	0	0	90s	100	1	60484
m	206	209	20	20	0	0	90s	100	1	60484
m	284	169	20	20	0	0	90s	100	1	60484
m	244	409	20	20	0	0	90s	100	1	60484
m	186	601	20	20	0	0	90s	100	1	60484
m	269	378	20	20	0	0	90s	100	1	60484

