//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	119	1130	30	30	0	0	45s	100	1	6603
r	137	1146	30	30	0	0	45s	100	1	6603
r	168	1108	30	30	0	0	45s	100	1	6603
r	132	1111	30	30	0	0	45s	100	1	6603
r	137	1087	30	30	0	0	45s	100	1	6603
r	145	1063	30	30	0	0	45s	100	1	6603
r	129	1080	30	30	0	0	45s	100	1	6603
r	111	1094	30	30	0	0	45s	100	1	6603
r	117	1070	30	30	0	0	45s	100	1	6603
r	119	1061	30	30	0	0	45s	100	1	6603
r	100	1037	30	30	0	0	45s	100	1	6603
r	96	1011	30	30	0	0	45s	100	1	6603
r	133	981	30	30	0	0	45s	100	1	6603
r	135	1002	30	30	0	0	45s	100	1	6603
r	124	1017	30	30	0	0	45s	100	1	6603
r	129	1045	30	30	0	0	45s	100	1	6603
r	136	1056	30	30	0	0	45s	100	1	6603
r	178	1078	30	30	0	0	45s	100	1	6603
r	189	1093	30	30	0	0	45s	100	1	6603
r	175	1118	30	30	0	0	45s	100	1	6603
r	159	1145	30	30	0	0	45s	100	1	6603
r	190	1135	30	30	0	0	45s	100	1	6603
r	198	1128	30	30	0	0	45s	100	1	6603
r	214	1121	30	30	0	0	45s	100	1	6603
r	224	1106	30	30	0	0	45s	100	1	6603
r	232	1101	30	30	0	0	45s	100	1	6603
r	217	1080	30	30	0	0	45s	100	1	6603
r	213	1066	30	30	0	0	45s	100	1	6603
r	218	1056	30	30	0	0	45s	100	1	6603
r	229	1053	30	30	0	0	45s	100	1	6603
r	241	1044	30	30	0	0	45s	100	1	6603
r	207	1035	30	30	0	0	45s	100	1	6603
r	191	1023	30	30	0	0	45s	100	1	6603
r	174	1014	30	30	0	0	45s	100	1	6603
r	178	1034	30	30	0	0	45s	100	1	6603
r	183	1051	30	30	0	0	45s	100	1	6603
r	255	1009	30	30	0	0	45s	100	1	6603
r	241	1001	30	30	0	0	45s	100	1	6603
r	257	990	30	30	0	0	45s	100	1	6603
r	264	985	30	30	0	0	45s	100	1	6603
r	252	959	30	30	0	0	45s	100	1	6603
r	249	949	30	30	0	0	45s	100	1	6603
r	227	955	30	30	0	0	45s	100	1	6603
r	215	967	30	30	0	0	45s	100	1	6603
r	198	973	30	30	0	0	45s	100	1	6603
r	174	978	30	30	0	0	45s	100	1	6603
r	187	982	30	30	0	0	45s	100	1	6603
r	205	984	30	30	0	0	45s	100	1	6603
r	218	977	30	30	0	0	45s	100	1	6603
r	228	970	30	30	0	0	45s	100	1	6603
