//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	180	981	10	10	0	0	600s	100	1	60565
m	244	953	10	10	0	0	600s	100	1	60568
m	117	945	10	10	0	0	600s	100	1	60565
m	171	849	10	10	0	0	600s	100	1	60568
m	92	849	10	10	0	0	600s	100	1	60565
m	227	898	10	10	0	0	600s	100	1	60568
m	151	772	10	10	0	0	600s	100	1	60565
m	82	729	10	10	0	0	600s	100	1	60568
m	86	654	10	10	0	0	600s	100	1	60565
m	122	574	10	10	0	0	600s	100	1	60568
m	97	514	10	10	0	0	600s	100	1	60565
m	154	446	10	10	0	0	600s	100	1	60568
m	172	389	10	10	0	0	600s	100	1	60565
m	104	438	10	10	0	0	600s	100	1	60568
m	86	358	10	10	0	0	600s	100	1	60565
m	111	283	10	10	0	0	600s	100	1	60568
m	87	213	10	10	0	0	600s	100	1	60565
m	83	163	10	10	0	0	600s	100	1	60568
m	104	101	10	10	0	0	600s	100	1	60565
m	167	78	10	10	0	0	600s	100	1	60568
m	268	120	10	10	0	0	600s	100	1	60565
m	325	94	10	10	0	0	600s	100	1	60568
m	398	111	10	10	0	0	600s	100	1	60565
m	376	154	10	10	0	0	600s	100	1	60568
m	160	927	10	10	0	0	600s	100	1	60565
m	151	117	10	10	0	0	600s	100	1	60568
m	531	121	10	10	0	0	600s	100	1	60564
m	658	157	10	10	0	0	600s	100	1	60567
m	594	129	10	10	0	0	600s	100	1	60564
m	694	108	10	10	0	0	600s	100	1	60567
m	739	160	10	10	0	0	600s	100	1	60564
m	810	135	10	10	0	0	600s	100	1	60567
m	859	176	10	10	0	0	600s	100	1	60564
m	907	234	10	10	0	0	600s	100	1	60567
m	836	344	10	10	0	0	600s	100	1	60564
m	783	343	10	10	0	0	600s	100	1	60567
m	726	244	10	10	0	0	600s	100	1	60564
m	784	235	10	10	0	0	600s	100	1	60567
m	681	193	10	10	0	0	600s	100	1	60564
m	653	252	10	10	0	0	600s	100	1	60567
m	631	293	10	10	0	0	600s	100	1	60564
m	563	319	10	10	0	0	600s	100	1	60567
m	490	352	10	10	0	0	600s	100	1	60564
m	399	337	10	10	0	0	600s	100	1	60567
m	440	419	10	10	0	0	600s	100	1	60564
m	375	403	10	10	0	0	600s	100	1	60567
m	422	460	10	10	0	0	600s	100	1	60564
m	411	520	10	10	0	0	600s	100	1	60567
m	307	495	10	10	0	0	600s	100	1	60564
m	338	531	10	10	0	0	600s	100	1	60567
m	249	489	10	10	0	0	600s	100	1	60564
m	217	526	10	10	0	0	600s	100	1	60567
m	473	250	10	10	0	0	600s	100	1	60564
m	509	177	10	10	0	0	600s	100	1	60567
m	748	125	10	10	0	0	600s	100	1	60564
m	750	293	10	10	0	0	600s	100	1	60567
m	520	407	10	10	0	0	600s	100	1	60563
m	588	432	10	10	0	0	600s	100	1	60566
m	681	416	10	10	0	0	600s	100	1	60563
m	593	480	10	10	0	0	600s	100	1	60566
m	711	472	10	10	0	0	600s	100	1	60563
m	650	510	10	10	0	0	600s	100	1	60566
m	534	532	10	10	0	0	600s	100	1	60563
m	640	568	10	10	0	0	600s	100	1	60566
m	773	469	10	10	0	0	600s	100	1	60563
m	816	496	10	10	0	0	600s	100	1	60566
m	750	563	10	10	0	0	600s	100	1	60563
m	742	521	10	10	0	0	600s	100	1	60566
m	704	618	10	10	0	0	600s	100	1	60563
m	700	693	10	10	0	0	600s	100	1	60566
m	670	731	10	10	0	0	600s	100	1	60563
m	652	780	10	10	0	0	600s	100	1	60566
m	758	702	10	10	0	0	600s	100	1	60563
m	757	645	10	10	0	0	600s	100	1	60566
m	777	821	10	10	0	0	600s	100	1	60563
m	801	890	10	10	0	0	600s	100	1	60566
m	718	931	10	10	0	0	600s	100	1	60563
m	684	974	10	10	0	0	600s	100	1	60566
m	741	984	10	10	0	0	600s	100	1	60563
m	759	947	10	10	0	0	600s	100	1	60566
m	788	908	10	10	0	0	600s	100	1	60563
m	827	966	10	10	0	0	600s	100	1	60566
m	781	862	10	10	0	0	600s	100	1	60563
m	690	778	10	10	0	0	600s	100	1	60566
m	632	752	10	10	0	0	600s	100	1	60563
m	634	432	10	10	0	0	600s	100	1	60566

