//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	421	913	10	10	0	0	60s	100	1	6401
r	377	890	10	10	0	0	60s	100	1	6401
r	424	876	10	10	0	0	60s	100	1	6401
r	454	842	10	10	0	0	60s	100	1	6401
r	486	803	10	10	0	0	60s	100	1	6401
r	540	755	10	10	0	0	60s	100	1	6401
r	575	771	10	10	0	0	60s	100	1	6401
r	569	716	10	10	0	0	60s	100	1	6401
r	606	591	10	10	0	0	60s	100	1	6401
r	552	546	10	10	0	0	60s	100	1	6401
r	552	514	10	10	0	0	60s	100	1	6401
r	517	530	10	10	0	0	60s	100	1	6401
r	147	607	10	10	0	0	60s	100	1	6401
r	184	625	10	10	0	0	60s	100	1	6401
r	182	686	10	10	0	0	60s	100	1	6401
r	230	743	10	10	0	0	60s	100	1	6401
r	282	793	10	10	0	0	60s	100	1	6401
r	317	856	10	10	0	0	60s	100	1	6401
r	606	441	10	10	0	0	60s	100	1	6401
r	639	397	10	10	0	0	60s	100	1	6401
r	599	362	10	10	0	0	60s	100	1	6401
r	535	354	10	10	0	0	60s	100	1	6401
r	500	399	10	10	0	0	60s	100	1	6401
r	412	364	10	10	0	0	60s	100	1	6401
r	409	407	10	10	0	0	60s	100	1	6401
r	329	344	10	10	0	0	60s	100	1	6401
r	316	374	10	10	0	0	60s	100	1	6401
r	328	433	10	10	0	0	60s	100	1	6401
r	285	472	10	10	0	0	60s	100	1	6401
r	153	457	10	10	0	0	60s	100	1	6401
r	110	433	10	10	0	0	60s	100	1	6401
r	111	494	10	10	0	0	60s	100	1	6401
r	95	393	10	10	0	0	60s	100	1	6401
r	107	320	10	10	0	0	60s	100	1	6401
r	163	293	10	10	0	0	60s	100	1	6401
r	199	273	10	10	0	0	60s	100	1	6401
r	243	253	10	10	0	0	60s	100	1	6401
r	277	237	10	10	0	0	60s	100	1	6401
r	289	277	10	10	0	0	60s	100	1	6401
r	338	192	10	10	0	0	60s	100	1	6401
r	351	136	10	10	0	0	60s	100	1	6401
r	331	136	10	10	0	0	60s	100	1	6401
r	362	101	10	10	0	0	60s	100	1	6401
r	396	99	10	10	0	0	60s	100	1	6401
r	383	134	10	10	0	0	60s	100	1	6401
r	427	87	10	10	0	0	60s	100	1	6401
r	540	75	10	10	0	0	60s	100	1	6401
r	560	93	10	10	0	0	60s	100	1	6401
r	351	158	10	10	0	0	60s	100	1	6401
r	98	212	10	10	0	0	60s	100	1	6401
r	83	233	10	10	0	0	60s	100	1	6401
r	113	231	10	10	0	0	60s	100	1	6401
r	93	310	10	10	0	0	60s	100	1	6401
r	341	888	10	10	0	0	60s	100	1	6401
r	403	884	10	10	0	0	60s	100	1	6401
r	543	771	10	10	0	0	60s	100	1	6401
r	569	735	10	10	0	0	60s	100	1	6401
r	590	753	10	10	0	0	60s	100	1	6401
r	590	567	10	10	0	0	60s	100	1	6401
r	627	565	10	10	0	0	60s	100	1	6401
r	571	546	10	10	0	0	60s	100	1	6401
r	528	526	10	10	0	0	60s	100	1	6401
r	555	573	10	10	0	0	60s	100	1	6401
r	154	646	10	10	0	0	60s	100	1	6401
r	205	662	10	10	0	0	60s	100	1	6401
r	230	629	10	10	0	0	60s	100	1	6401
r	216	706	10	10	0	0	60s	100	1	6401
r	102	449	10	10	0	0	60s	100	1	6401
r	119	304	10	10	0	0	60s	100	1	6401
r	87	241	10	10	0	0	60s	100	1	6401
r	310	316	10	10	0	0	60s	100	1	6401
r	311	451	10	10	0	0	60s	100	1	6401
r	262	488	10	10	0	0	60s	100	1	6401
r	209	480	10	10	0	0	60s	100	1	6401
r	369	423	10	10	0	0	60s	100	1	6401
r	371	364	10	10	0	0	60s	100	1	6401
r	403	389	10	10	0	0	60s	100	1	6401
r	485	350	10	10	0	0	60s	100	1	6401
r	458	350	10	10	0	0	60s	100	1	6401
r	446	425	10	10	0	0	60s	100	1	6401
r	506	362	10	10	0	0	60s	100	1	6401
r	571	352	10	10	0	0	60s	100	1	6401
r	602	255	10	10	0	0	60s	100	1	6401
r	621	269	10	10	0	0	60s	100	1	6401
r	626	374	10	10	0	0	60s	100	1	6401
r	655	407	10	10	0	0	60s	100	1	6401
r	577	502	10	10	0	0	60s	100	1	6401
r	495	540	10	10	0	0	60s	100	1	6401
r	596	652	10	10	0	0	60s	100	1	6401
r	590	684	10	10	0	0	60s	100	1	6401
r	178	652	10	10	0	0	60s	100	1	6401
r	120	633	10	10	0	0	60s	100	1	6401
r	150	674	10	10	0	0	60s	100	1	6401
r	258	769	10	10	0	0	60s	100	1	6401
r	534	548	10	10	0	0	60s	100	1	6401
