//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	186	598	20	20	0	0	900s	100	2	8059
m	202	690	20	20	0	0	900s	100	2	8059
m	549	759	20	20	0	0	900s	100	2	8059
m	600	584	20	20	0	0	900s	100	2	8059
m	533	549	20	20	0	0	900s	100	2	8059
m	637	401	20	20	0	0	900s	100	2	8059
m	507	356	20	20	0	0	900s	100	2	8059
m	410	411	20	20	0	0	900s	100	2	8059
m	315	338	20	20	0	0	900s	100	2	8059
m	100	429	20	20	0	0	900s	100	2	8059
m	220	269	20	20	0	0	900s	100	2	8059
m	366	132	20	20	0	0	900s	100	2	8059
m	403	100	20	20	0	0	900s	100	2	8059

