//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	129	81	5	5	0	0	90s	100	1	6539
r	107	81	5	5	0	0	90s	100	1	6539
r	97	92	5	5	0	0	90s	100	1	6539
r	117	94	5	5	0	0	90s	100	1	6539
r	122	89	5	5	0	0	90s	100	1	6539
r	102	105	5	5	0	0	90s	100	1	6539
r	90	99	5	5	0	0	90s	100	1	6539
r	77	112	5	5	0	0	90s	100	1	6539
r	83	119	5	5	0	0	90s	100	1	6539
r	98	115	5	5	0	0	90s	100	1	6539
r	84	124	5	5	0	0	90s	100	1	6539
r	71	134	5	5	0	0	90s	100	1	6539
r	75	146	5	5	0	0	90s	100	1	6539
r	88	144	5	5	0	0	90s	100	1	6539
r	93	146	5	5	0	0	90s	100	1	6539
r	78	167	5	5	0	0	90s	100	1	6539
r	70	171	5	5	0	0	90s	100	1	6539
r	92	178	5	5	0	0	90s	100	1	6539
r	97	178	5	5	0	0	90s	100	1	6539
r	103	177	5	5	0	0	90s	100	1	6539
r	90	165	5	5	0	0	90s	100	1	6539
r	80	183	5	5	0	0	90s	100	1	6539
r	84	192	5	5	0	0	90s	100	1	6539
r	84	208	5	5	0	0	90s	100	1	6539
r	93	217	5	5	0	0	90s	100	1	6539
r	112	220	5	5	0	0	90s	100	1	6539
r	123	221	5	5	0	0	90s	100	1	6539
r	133	224	5	5	0	0	90s	100	1	6539
r	142	228	5	5	0	0	90s	100	1	6539
r	105	203	5	5	0	0	90s	100	1	6539
r	92	196	5	5	0	0	90s	100	1	6539
r	113	201	5	5	0	0	90s	100	1	6539
r	134	211	5	5	0	0	90s	100	1	6539
r	157	209	5	5	0	0	90s	100	1	6539
r	166	208	5	5	0	0	90s	100	1	6539
r	164	220	5	5	0	0	90s	100	1	6539
r	146	232	5	5	0	0	90s	100	1	6539
r	120	223	5	5	0	0	90s	100	1	6539
r	135	209	5	5	0	0	90s	100	1	6539
r	156	217	5	5	0	0	90s	100	1	6539
r	175	220	5	5	0	0	90s	100	1	6539
r	196	194	5	5	0	0	90s	100	1	6539
r	193	207	5	5	0	0	90s	100	1	6539
r	175	225	5	5	0	0	90s	100	1	6539
r	188	225	5	5	0	0	90s	100	1	6539
r	210	202	5	5	0	0	90s	100	1	6539
r	221	185	5	5	0	0	90s	100	1	6539
r	226	168	5	5	0	0	90s	100	1	6539
r	227	150	5	5	0	0	90s	100	1	6539
r	229	130	5	5	0	0	90s	100	1	6539
r	225	112	5	5	0	0	90s	100	1	6539
r	211	102	5	5	0	0	90s	100	1	6539
r	197	93	5	5	0	0	90s	100	1	6539
r	177	86	5	5	0	0	90s	100	1	6539
r	156	83	5	5	0	0	90s	100	1	6539
r	133	92	5	5	0	0	90s	100	1	6539
r	109	104	5	5	0	0	90s	100	1	6539
r	98	118	5	5	0	0	90s	100	1	6539
r	96	138	5	5	0	0	90s	100	1	6539
r	98	154	5	5	0	0	90s	100	1	6539
r	104	195	5	5	0	0	90s	100	1	6539
r	160	207	5	5	0	0	90s	100	1	6539
r	170	206	5	5	0	0	90s	100	1	6539
r	191	196	5	5	0	0	90s	100	1	6539
r	203	184	5	5	0	0	90s	100	1	6539
r	209	170	5	5	0	0	90s	100	1	6539
r	211	147	5	5	0	0	90s	100	1	6539
r	209	127	5	5	0	0	90s	100	1	6539
r	203	115	5	5	0	0	90s	100	1	6539
r	193	108	5	5	0	0	90s	100	1	6539
r	180	99	5	5	0	0	90s	100	1	6539
r	159	93	5	5	0	0	90s	100	1	6539
r	123	96	5	5	0	0	90s	100	1	6539
r	116	101	5	5	0	0	90s	100	1	6539
r	106	114	5	5	0	0	90s	100	1	6539
r	93	136	5	5	0	0	90s	100	1	6539
r	218	193	5	5	0	0	90s	100	1	6539
r	230	159	5	5	0	0	90s	100	1	6539
r	228	123	5	5	0	0	90s	100	1	6539
r	221	101	5	5	0	0	90s	100	1	6539
r	200	85	5	5	0	0	90s	100	1	6539
r	176	75	5	5	0	0	90s	100	1	6539
r	157	74	5	5	0	0	90s	100	1	6539
r	138	75	5	5	0	0	90s	100	1	6539
r	121	79	5	5	0	0	90s	100	1	6539
r	79	113	5	5	0	0	90s	100	1	6539
r	72	147	5	5	0	0	90s	100	1	6539
