//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	60	141	5	5	0	0	90s	100	1	6538
r	73	137	5	5	0	0	90s	100	1	6538
r	73	144	5	5	0	0	90s	100	1	6538
r	69	166	5	5	0	0	90s	100	1	6538
r	68	161	5	5	0	0	90s	100	1	6538
r	82	156	5	5	0	0	90s	100	1	6538
r	74	168	5	5	0	0	90s	100	1	6538
r	68	177	5	5	0	0	90s	100	1	6538
r	91	186	5	5	0	0	90s	100	1	6538
r	88	199	5	5	0	0	90s	100	1	6538
r	95	206	5	5	0	0	90s	100	1	6538
r	110	204	5	5	0	0	90s	100	1	6538
r	98	187	5	5	0	0	90s	100	1	6538
r	92	174	5	5	0	0	90s	100	1	6538
r	84	179	5	5	0	0	90s	100	1	6538
r	82	185	5	5	0	0	90s	100	1	6538
r	86	197	5	5	0	0	90s	100	1	6538
r	107	195	5	5	0	0	90s	100	1	6538
r	117	193	5	5	0	0	90s	100	1	6538
r	126	199	5	5	0	0	90s	100	1	6538
r	143	194	5	5	0	0	90s	100	1	6538
r	140	185	5	5	0	0	90s	100	1	6538
r	132	182	5	5	0	0	90s	100	1	6538
r	148	175	5	5	0	0	90s	100	1	6538
r	160	170	5	5	0	0	90s	100	1	6538
r	161	155	5	5	0	0	90s	100	1	6538
r	151	153	5	5	0	0	90s	100	1	6538
r	142	149	5	5	0	0	90s	100	1	6538
r	149	136	5	5	0	0	90s	100	1	6538
r	151	130	5	5	0	0	90s	100	1	6538
r	139	125	5	5	0	0	90s	100	1	6538
r	128	123	5	5	0	0	90s	100	1	6538
r	123	129	5	5	0	0	90s	100	1	6538
r	124	114	5	5	0	0	90s	100	1	6538
r	115	110	5	5	0	0	90s	100	1	6538
r	103	117	5	5	0	0	90s	100	1	6538
r	106	127	5	5	0	0	90s	100	1	6538
r	107	134	5	5	0	0	90s	100	1	6538
r	93	141	5	5	0	0	90s	100	1	6538
r	89	141	5	5	0	0	90s	100	1	6538
r	85	130	5	5	0	0	90s	100	1	6538
r	90	125	5	5	0	0	90s	100	1	6538
r	90	117	5	5	0	0	90s	100	1	6538
r	76	127	5	5	0	0	90s	100	1	6538
r	66	138	5	5	0	0	90s	100	1	6538
r	63	162	5	5	0	0	90s	100	1	6538
r	61	176	5	5	0	0	90s	100	1	6538
r	74	186	5	5	0	0	90s	100	1	6538
r	87	200	5	5	0	0	90s	100	1	6538
r	102	203	5	5	0	0	90s	100	1	6538
r	126	197	5	5	0	0	90s	100	1	6538
r	144	188	5	5	0	0	90s	100	1	6538
r	160	168	5	5	0	0	90s	100	1	6538
r	161	148	5	5	0	0	90s	100	1	6538
r	156	129	5	5	0	0	90s	100	1	6538
r	111	110	5	5	0	0	90s	100	1	6538
r	102	109	5	5	0	0	90s	100	1	6538
r	96	110	5	5	0	0	90s	100	1	6538
r	70	136	5	5	0	0	90s	100	1	6538
r	63	163	5	5	0	0	90s	100	1	6538
