//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	179	546	10	10	0	0	45s	100	1	7105
r	184	564	10	10	0	0	45s	100	1	7105
r	182	554	10	10	0	0	45s	100	1	7105
r	200	550	10	10	0	0	45s	100	1	7105
r	214	554	10	10	0	0	45s	100	1	7105
r	224	557	10	10	0	0	45s	100	1	7105
r	245	539	10	10	0	0	45s	100	1	7105
r	233	525	10	10	0	0	45s	100	1	7105
r	230	523	10	10	0	0	45s	100	1	7105
r	245	507	10	10	0	0	45s	100	1	7105
r	232	493	10	10	0	0	45s	100	1	7105
r	236	485	10	10	0	0	45s	100	1	7105
r	243	474	10	10	0	0	45s	100	1	7105
r	231	455	10	10	0	0	45s	100	1	7105
r	233	448	10	10	0	0	45s	100	1	7105
r	243	439	10	10	0	0	45s	100	1	7105
r	233	423	10	10	0	0	45s	100	1	7105
r	229	417	10	10	0	0	45s	100	1	7105
r	241	410	10	10	0	0	45s	100	1	7105
r	234	391	10	10	0	0	45s	100	1	7105
r	244	379	10	10	0	0	45s	100	1	7105
r	233	366	10	10	0	0	45s	100	1	7105
r	230	365	10	10	0	0	45s	100	1	7105
r	241	357	10	10	0	0	45s	100	1	7105
r	243	337	10	10	0	0	45s	100	1	7105
r	236	337	10	10	0	0	45s	100	1	7105
r	229	332	10	10	0	0	45s	100	1	7105
r	241	317	10	10	0	0	45s	100	1	7105
r	245	307	10	10	0	0	45s	100	1	7105
r	231	299	10	10	0	0	45s	100	1	7105
r	233	267	10	10	0	0	45s	100	1	7105
r	235	254	10	10	0	0	45s	100	1	7105
r	245	244	10	10	0	0	45s	100	1	7105
r	251	235	10	10	0	0	45s	100	1	7105
r	262	230	10	10	0	0	45s	100	1	7105
r	267	214	10	10	0	0	45s	100	1	7105
r	266	194	10	10	0	0	45s	100	1	7105
r	259	188	10	10	0	0	45s	100	1	7105
r	248	185	10	10	0	0	45s	100	1	7105
r	237	184	10	10	0	0	45s	100	1	7105
r	224	184	10	10	0	0	45s	100	1	7105
r	214	191	10	10	0	0	45s	100	1	7105
r	206	205	10	10	0	0	45s	100	1	7105
r	203	220	10	10	0	0	45s	100	1	7105
r	212	233	10	10	0	0	45s	100	1	7105
r	228	239	10	10	0	0	45s	100	1	7105
r	242	241	10	10	0	0	45s	100	1	7105
r	264	233	10	10	0	0	45s	100	1	7105
r	269	213	10	10	0	0	45s	100	1	7105
r	256	187	10	10	0	0	45s	100	1	7105
r	248	183	10	10	0	0	45s	100	1	7105
r	225	181	10	10	0	0	45s	100	1	7105
r	212	185	10	10	0	0	45s	100	1	7105
r	207	197	10	10	0	0	45s	100	1	7105
r	219	208	10	10	0	0	45s	100	1	7105
r	235	211	10	10	0	0	45s	100	1	7105
r	248	205	10	10	0	0	45s	100	1	7105
r	238	198	10	10	0	0	45s	100	1	7105
r	228	200	10	10	0	0	45s	100	1	7105
r	229	212	10	10	0	0	45s	100	1	7105
r	246	217	10	10	0	0	45s	100	1	7105
r	254	206	10	10	0	0	45s	100	1	7105
r	239	198	10	10	0	0	45s	100	1	7105
r	231	208	10	10	0	0	45s	100	1	7105
r	241	220	10	10	0	0	45s	100	1	7105
r	276	215	10	10	0	0	45s	100	1	7105
r	292	208	10	10	0	0	45s	100	1	7105
r	305	204	10	10	0	0	45s	100	1	7105
r	304	213	10	10	0	0	45s	100	1	7105
r	289	216	10	10	0	0	45s	100	1	7105
r	328	204	10	10	0	0	45s	100	1	7105
r	341	203	10	10	0	0	45s	100	1	7105
r	347	203	10	10	0	0	45s	100	1	7105
r	346	210	10	10	0	0	45s	100	1	7105
r	336	213	10	10	0	0	45s	100	1	7105
r	360	213	10	10	0	0	45s	100	1	7105
r	379	210	10	10	0	0	45s	100	1	7105
r	383	202	10	10	0	0	45s	100	1	7105
r	375	191	10	10	0	0	45s	100	1	7105
r	390	185	10	10	0	0	45s	100	1	7105
r	411	185	10	10	0	0	45s	100	1	7105
r	421	193	10	10	0	0	45s	100	1	7105
r	426	217	10	10	0	0	45s	100	1	7105
r	422	225	10	10	0	0	45s	100	1	7105
r	404	231	10	10	0	0	45s	100	1	7105
r	385	233	10	10	0	0	45s	100	1	7105
r	373	206	10	10	0	0	45s	100	1	7105
r	385	189	10	10	0	0	45s	100	1	7105
r	407	190	10	10	0	0	45s	100	1	7105
r	408	203	10	10	0	0	45s	100	1	7105
r	391	215	10	10	0	0	45s	100	1	7105
r	378	224	10	10	0	0	45s	100	1	7105
r	394	244	10	10	0	0	45s	100	1	7105
r	431	238	10	10	0	0	45s	100	1	7105
r	413	218	10	10	0	0	45s	100	1	7105
r	416	210	10	10	0	0	45s	100	1	7105
r	446	211	10	10	0	0	45s	100	1	7105
r	455	212	10	10	0	0	45s	100	1	7105
r	464	212	10	10	0	0	45s	100	1	7105
r	492	210	10	10	0	0	45s	100	1	7105
r	516	210	10	10	0	0	45s	100	1	7105
r	549	208	10	10	0	0	45s	100	1	7105
r	563	208	10	10	0	0	45s	100	1	7105
r	595	209	10	10	0	0	45s	100	1	7105
r	610	209	10	10	0	0	45s	100	1	7105
r	623	209	10	10	0	0	45s	100	1	7105
r	637	210	10	10	0	0	45s	100	1	7105
r	666	210	10	10	0	0	45s	100	1	7105
r	705	210	10	10	0	0	45s	100	1	7105
r	744	208	10	10	0	0	45s	100	1	7105
r	754	208	10	10	0	0	45s	100	1	7105
r	761	208	10	10	0	0	45s	100	1	7105
r	454	204	10	10	0	0	45s	100	1	7105
r	484	209	10	10	0	0	45s	100	1	7105
r	505	209	10	10	0	0	45s	100	1	7105
r	525	209	10	10	0	0	45s	100	1	7105
r	548	208	10	10	0	0	45s	100	1	7105
r	567	207	10	10	0	0	45s	100	1	7105
r	582	207	10	10	0	0	45s	100	1	7105
r	593	207	10	10	0	0	45s	100	1	7105
r	605	207	10	10	0	0	45s	100	1	7105
r	629	208	10	10	0	0	45s	100	1	7105
r	640	208	10	10	0	0	45s	100	1	7105
r	653	208	10	10	0	0	45s	100	1	7105
r	673	208	10	10	0	0	45s	100	1	7105
r	696	208	10	10	0	0	45s	100	1	7105
r	709	208	10	10	0	0	45s	100	1	7105
r	727	208	10	10	0	0	45s	100	1	7105
r	740	208	10	10	0	0	45s	100	1	7105
r	762	208	10	10	0	0	45s	100	1	7105
r	754	217	10	10	0	0	45s	100	1	7105
r	744	218	10	10	0	0	45s	100	1	7105
r	720	218	10	10	0	0	45s	100	1	7105
r	710	218	10	10	0	0	45s	100	1	7105
r	675	214	10	10	0	0	45s	100	1	7105
r	629	214	10	10	0	0	45s	100	1	7105
r	769	214	10	10	0	0	45s	100	1	7105
r	776	218	10	10	0	0	45s	100	1	7105
r	776	230	10	10	0	0	45s	100	1	7105
r	769	239	10	10	0	0	45s	100	1	7105
r	767	248	10	10	0	0	45s	100	1	7105
r	777	265	10	10	0	0	45s	100	1	7105
r	768	275	10	10	0	0	45s	100	1	7105
r	768	292	10	10	0	0	45s	100	1	7105
r	774	305	10	10	0	0	45s	100	1	7105
r	771	316	10	10	0	0	45s	100	1	7105
r	773	338	10	10	0	0	45s	100	1	7105
r	778	350	10	10	0	0	45s	100	1	7105
r	772	356	10	10	0	0	45s	100	1	7105
r	790	359	10	10	0	0	45s	100	1	7105
r	803	357	10	10	0	0	45s	100	1	7105
r	769	360	10	10	0	0	45s	100	1	7105
r	782	355	10	10	0	0	45s	100	1	7105
r	175	607	10	10	0	0	45s	100	1	7105
r	189	604	10	10	0	0	45s	100	1	7105
r	203	604	10	10	0	0	45s	100	1	7105
r	215	604	10	10	0	0	45s	100	1	7105
r	236	602	10	10	0	0	45s	100	1	7105
r	259	601	10	10	0	0	45s	100	1	7105
r	278	601	10	10	0	0	45s	100	1	7105
r	290	604	10	10	0	0	45s	100	1	7105
r	285	614	10	10	0	0	45s	100	1	7105
r	232	609	10	10	0	0	45s	100	1	7105
r	215	609	10	10	0	0	45s	100	1	7105
r	194	613	10	10	0	0	45s	100	1	7105
r	233	617	10	10	0	0	45s	100	1	7105
r	271	614	10	10	0	0	45s	100	1	7105
r	293	600	10	10	0	0	45s	100	1	7105
r	294	574	10	10	0	0	45s	100	1	7105
r	291	553	10	10	0	0	45s	100	1	7105
r	302	539	10	10	0	0	45s	100	1	7105
r	292	515	10	10	0	0	45s	100	1	7105
r	299	505	10	10	0	0	45s	100	1	7105
r	301	493	10	10	0	0	45s	100	1	7105
r	292	483	10	10	0	0	45s	100	1	7105
r	301	470	10	10	0	0	45s	100	1	7105
r	297	455	10	10	0	0	45s	100	1	7105
r	290	446	10	10	0	0	45s	100	1	7105
r	305	433	10	10	0	0	45s	100	1	7105
r	292	421	10	10	0	0	45s	100	1	7105
r	300	409	10	10	0	0	45s	100	1	7105
r	301	387	10	10	0	0	45s	100	1	7105
r	305	384	10	10	0	0	45s	100	1	7105
r	287	368	10	10	0	0	45s	100	1	7105
r	298	359	10	10	0	0	45s	100	1	7105
r	290	345	10	10	0	0	45s	100	1	7105
r	301	329	10	10	0	0	45s	100	1	7105
r	305	315	10	10	0	0	45s	100	1	7105
r	322	311	10	10	0	0	45s	100	1	7105
r	340	311	10	10	0	0	45s	100	1	7105
r	370	310	10	10	0	0	45s	100	1	7105
r	391	304	10	10	0	0	45s	100	1	7105
r	402	303	10	10	0	0	45s	100	1	7105
r	414	310	10	10	0	0	45s	100	1	7105
r	439	310	10	10	0	0	45s	100	1	7105
r	444	307	10	10	0	0	45s	100	1	7105
r	414	318	10	10	0	0	45s	100	1	7105
r	398	317	10	10	0	0	45s	100	1	7105
r	368	312	10	10	0	0	45s	100	1	7105
r	316	311	10	10	0	0	45s	100	1	7105
r	295	310	10	10	0	0	45s	100	1	7105
r	366	310	10	10	0	0	45s	100	1	7105
r	403	308	10	10	0	0	45s	100	1	7105
r	431	310	10	10	0	0	45s	100	1	7105
r	464	310	10	10	0	0	45s	100	1	7105
r	490	309	10	10	0	0	45s	100	1	7105
r	509	308	10	10	0	0	45s	100	1	7105
r	533	301	10	10	0	0	45s	100	1	7105
r	527	282	10	10	0	0	45s	100	1	7105
r	544	275	10	10	0	0	45s	100	1	7105
r	569	271	10	10	0	0	45s	100	1	7105
r	577	280	10	10	0	0	45s	100	1	7105
r	577	303	10	10	0	0	45s	100	1	7105
r	575	335	10	10	0	0	45s	100	1	7105
r	559	344	10	10	0	0	45s	100	1	7105
r	538	337	10	10	0	0	45s	100	1	7105
r	525	302	10	10	0	0	45s	100	1	7105
r	526	296	10	10	0	0	45s	100	1	7105
r	546	286	10	10	0	0	45s	100	1	7105
r	561	285	10	10	0	0	45s	100	1	7105
r	565	302	10	10	0	0	45s	100	1	7105
r	561	309	10	10	0	0	45s	100	1	7105
r	556	312	10	10	0	0	45s	100	1	7105
r	542	314	10	10	0	0	45s	100	1	7105
r	527	330	10	10	0	0	45s	100	1	7105
r	537	335	10	10	0	0	45s	100	1	7105
r	552	333	10	10	0	0	45s	100	1	7105
r	568	323	10	10	0	0	45s	100	1	7105
r	553	318	10	10	0	0	45s	100	1	7105
r	536	319	10	10	0	0	45s	100	1	7105
r	532	318	10	10	0	0	45s	100	1	7105
r	564	295	10	10	0	0	45s	100	1	7105
r	546	357	10	10	0	0	45s	100	1	7105
r	548	372	10	10	0	0	45s	100	1	7105
r	548	390	10	10	0	0	45s	100	1	7105
r	547	405	10	10	0	0	45s	100	1	7105
r	554	422	10	10	0	0	45s	100	1	7105
r	551	432	10	10	0	0	45s	100	1	7105
r	543	444	10	10	0	0	45s	100	1	7105
r	544	456	10	10	0	0	45s	100	1	7105
r	548	464	10	10	0	0	45s	100	1	7105
r	548	477	10	10	0	0	45s	100	1	7105
r	546	489	10	10	0	0	45s	100	1	7105
r	545	500	10	10	0	0	45s	100	1	7105
r	543	510	10	10	0	0	45s	100	1	7105
r	542	518	10	10	0	0	45s	100	1	7105
r	544	525	10	10	0	0	45s	100	1	7105
r	550	529	10	10	0	0	45s	100	1	7105
r	562	533	10	10	0	0	45s	100	1	7105
r	575	533	10	10	0	0	45s	100	1	7105
r	585	533	10	10	0	0	45s	100	1	7105
r	593	533	10	10	0	0	45s	100	1	7105
r	601	534	10	10	0	0	45s	100	1	7105
r	612	536	10	10	0	0	45s	100	1	7105
r	627	536	10	10	0	0	45s	100	1	7105
r	634	535	10	10	0	0	45s	100	1	7105
r	637	533	10	10	0	0	45s	100	1	7105
r	639	531	10	10	0	0	45s	100	1	7105
r	641	516	10	10	0	0	45s	100	1	7105
r	640	510	10	10	0	0	45s	100	1	7105
r	639	506	10	10	0	0	45s	100	1	7105
r	639	494	10	10	0	0	45s	100	1	7105
r	641	482	10	10	0	0	45s	100	1	7105
r	640	467	10	10	0	0	45s	100	1	7105
r	639	463	10	10	0	0	45s	100	1	7105
r	639	451	10	10	0	0	45s	100	1	7105
r	639	443	10	10	0	0	45s	100	1	7105
r	641	432	10	10	0	0	45s	100	1	7105
r	642	426	10	10	0	0	45s	100	1	7105
r	589	311	10	10	0	0	45s	100	1	7105
r	618	311	10	10	0	0	45s	100	1	7105
r	633	311	10	10	0	0	45s	100	1	7105
r	659	315	10	10	0	0	45s	100	1	7105
r	675	315	10	10	0	0	45s	100	1	7105
r	695	314	10	10	0	0	45s	100	1	7105
r	710	310	10	10	0	0	45s	100	1	7105
r	713	313	10	10	0	0	45s	100	1	7105
r	680	305	10	10	0	0	45s	100	1	7105
r	662	310	10	10	0	0	45s	100	1	7105
r	648	310	10	10	0	0	45s	100	1	7105
r	710	310	10	10	0	0	45s	100	1	7105
r	713	323	10	10	0	0	45s	100	1	7105
r	707	343	10	10	0	0	45s	100	1	7105
r	707	356	10	10	0	0	45s	100	1	7105
r	715	370	10	10	0	0	45s	100	1	7105
