//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
m	82	114	0	0	0	8	1m	100	1	9001
m	101	112	0	0	0	8	1m	100	1	9005
m	121	116	0	0	0	8	1m	100	1	9002
m	139	130	0	0	0	8	1m	100	1	9003
m	141	153	0	0	0	8	1m	100	1	9006
m	140	176	0	0	0	8	1m	100	1	9004
m	121	191	0	0	0	8	1m	100	1	9010
m	100	192	0	0	0	8	1m	100	1	20087
m	80	190	0	0	0	8	1m	100	1	20094
m	63	175	0	0	0	8	1m	100	1	20095
m	62	153	0	0	0	8	1m	100	1	20091
m	65	131	0	0	0	8	1m	100	1	20042


m	340	163	0	0	0	8	1m	100	1	9001
m	339	142	0	0	0	8	1m	100	1	9005
m	340	121	0	0	0	8	1m	100	1	9002
m	359	107	0	0	0	8	1m	100	1	9003
m	379	105	0	0	0	8	1m	100	1	9006
m	399	106	0	0	0	8	1m	100	1	9004
m	415	122	0	0	0	8	1m	100	1	9010
m	416	142	0	0	0	8	1m	100	1	20087
m	415	164	0	0	0	8	1m	100	1	20094
m	392	179	0	0	0	8	1m	100	1	20095
m	374	180	0	0	0	8	1m	100	1	20091
m	356	179	0	0	0	8	1m	100	1	20042


m	341	357	0	0	0	8	1m	100	1	9001
m	360	357	0	0	0	8	1m	100	1	9005
m	382	358	0	0	0	8	1m	100	1	9002
m	399	374	0	0	0	8	1m	100	1	9003
m	402	395	0	0	0	8	1m	100	1	9006
m	400	415	0	0	0	8	1m	100	1	9004
m	380	433	0	0	0	8	1m	100	1	9010
m	361	433	0	0	0	8	1m	100	1	20087
m	343	432	0	0	0	8	1m	100	1	20094
m	328	409	0	0	0	8	1m	100	1	20095
m	328	381	0	0	0	8	1m	100	1	20091
m	328	364	0	0	0	8	1m	100	1	20042

m	233	272	0	0	0	8	1m	100	1	20011
