//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	364	446	0	0	0	3	300s	100	1	20015


r	462	445	5	5	0	0	300s	100	1	6591
r	465	456	5	5	0	0	300s	100	1	6592
r	478	465	5	5	0	0	300s	100	1	6593
r	475	450	5	5	0	0	300s	100	1	6594
r	484	448	5	5	0	0	300s	100	1	6595
r	482	459	5	5	0	0	300s	100	1	6591
r	496	436	5	5	0	0	300s	100	1	6592
r	502	420	5	5	0	0	300s	100	1	6593
r	492	414	5	5	0	0	300s	100	1	6594
r	490	431	5	5	0	0	300s	100	1	6595
r	474	440	5	5	0	0	300s	100	1	6591
r	458	425	5	5	0	0	300s	100	1	6592
r	466	432	5	5	0	0	300s	100	1	6593
r	476	427	5	5	0	0	300s	100	1	6594
r	478	418	5	5	0	0	300s	100	1	6595
r	467	419	5	5	0	0	300s	100	1	6591
r	502	392	5	5	0	0	300s	100	1	6592
r	491	388	5	5	0	0	300s	100	1	6593
r	475	388	5	5	0	0	300s	100	1	6594
r	468	376	5	5	0	0	300s	100	1	6595
r	480	374	5	5	0	0	300s	100	1	6591
r	491	367	5	5	0	0	300s	100	1	6592
r	497	379	5	5	0	0	300s	100	1	6593
r	507	370	5	5	0	0	300s	100	1	6594
r	510	381	5	5	0	0	300s	100	1	6595
r	517	385	5	5	0	0	300s	100	1	6591
r	526	381	5	5	0	0	300s	100	1	6592
r	520	371	5	5	0	0	300s	100	1	6593
r	527	362	5	5	0	0	300s	100	1	6594
r	535	372	5	5	0	0	300s	100	1	6595
r	544	362	5	5	0	0	300s	100	1	6591
r	533	350	5	5	0	0	300s	100	1	6592
r	537	346	5	5	0	0	300s	100	1	6593
r	522	347	5	5	0	0	300s	100	1	6594
r	547	353	5	5	0	0	300s	100	1	6595
r	567	379	5	5	0	0	300s	100	1	6591
r	573	386	5	5	0	0	300s	100	1	6592
r	570	395	5	5	0	0	300s	100	1	6593
r	561	388	5	5	0	0	300s	100	1	6594
r	549	390	5	5	0	0	300s	100	1	6595
r	555	398	5	5	0	0	300s	100	1	6591
r	540	400	5	5	0	0	300s	100	1	6592
r	546	403	5	5	0	0	300s	100	1	6593
r	530	402	5	5	0	0	300s	100	1	6594
r	520	408	5	5	0	0	300s	100	1	6595
r	532	413	5	5	0	0	300s	100	1	6591
r	523	421	5	5	0	0	300s	100	1	6592
r	534	431	5	5	0	0	300s	100	1	6593
r	540	439	5	5	0	0	300s	100	1	6594
r	524	434	5	5	0	0	300s	100	1	6595
r	530	441	5	5	0	0	300s	100	1	6591
r	526	450	5	5	0	0	300s	100	1	6592
r	541	450	5	5	0	0	300s	100	1	6593
r	535	459	5	5	0	0	300s	100	1	6594
r	533	467	5	5	0	0	300s	100	1	6595
r	527	479	5	5	0	0	300s	100	1	6591
r	514	475	5	5	0	0	300s	100	1	6592
r	510	465	5	5	0	0	300s	100	1	6593
r	516	463	5	5	0	0	300s	100	1	6594
r	512	448	5	5	0	0	300s	100	1	6595
r	507	431	5	5	0	0	300s	100	1	6591
r	557	356	5	5	0	0	300s	100	1	6592
r	568	351	5	5	0	0	300s	100	1	6593
r	581	344	5	5	0	0	300s	100	1	6594
r	577	335	5	5	0	0	300s	100	1	6595
r	586	331	5	5	0	0	300s	100	1	6591
r	595	364	5	5	0	0	300s	100	1	6592
r	587	366	5	5	0	0	300s	100	1	6593
r	582	372	5	5	0	0	300s	100	1	6594
r	586	379	5	5	0	0	300s	100	1	6595
r	595	375	5	5	0	0	300s	100	1	6591
r	482	360	5	5	0	0	300s	100	1	6592
r	459	375	5	5	0	0	300s	100	1	6593
r	455	368	5	5	0	0	300s	100	1	6594
r	452	353	5	5	0	0	300s	100	1	6595
r	442	346	5	5	0	0	300s	100	1	6591
r	449	343	5	5	0	0	300s	100	1	6592
r	432	334	5	5	0	0	300s	100	1	6593
r	425	327	5	5	0	0	300s	100	1	6594
r	411	340	5	5	0	0	300s	100	1	6595
r	424	343	5	5	0	0	300s	100	1	6591
r	425	353	5	5	0	0	300s	100	1	6592
r	439	358	5	5	0	0	300s	100	1	6593
r	434	362	5	5	0	0	300s	100	1	6594
r	429	372	5	5	0	0	300s	100	1	6595
r	440	368	5	5	0	0	300s	100	1	6591
r	436	376	5	5	0	0	300s	100	1	6592
r	446	380	5	5	0	0	300s	100	1	6593
r	449	390	5	5	0	0	300s	100	1	6594
r	437	396	5	5	0	0	300s	100	1	6595
r	447	398	5	5	0	0	300s	100	1	6591
r	430	405	5	5	0	0	300s	100	1	6592
r	448	417	5	5	0	0	300s	100	1	6593
r	458	412	5	5	0	0	300s	100	1	6594
r	470	407	5	5	0	0	300s	100	1	6595
