//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	752	173	10	10	0	0	45s	100	1	6521
r	752	156	10	10	0	0	45s	100	1	6521
r	745	156	10	10	0	0	45s	100	1	6521
r	771	145	10	10	0	0	45s	100	1	6521
r	789	156	10	10	0	0	45s	100	1	6521
r	773	183	10	10	0	0	45s	100	1	6521
r	810	182	10	10	0	0	45s	100	1	6521
r	815	166	10	10	0	0	45s	100	1	6521
r	804	146	10	10	0	0	45s	100	1	6521
r	831	142	10	10	0	0	45s	100	1	6521
r	837	162	10	10	0	0	45s	100	1	6521
r	865	151	10	10	0	0	45s	100	1	6521
r	889	168	10	10	0	0	45s	100	1	6521
r	872	188	10	10	0	0	45s	100	1	6521
r	904	149	10	10	0	0	45s	100	1	6521
r	901	126	10	10	0	0	45s	100	1	6521
r	867	115	10	10	0	0	45s	100	1	6521
r	831	124	10	10	0	0	45s	100	1	6521
r	882	130	10	10	0	0	45s	100	1	6521
r	888	105	10	10	0	0	45s	100	1	6521
r	875	192	10	10	0	0	45s	100	1	6521
r	791	228	10	10	0	0	45s	100	1	6521
r	834	224	10	10	0	0	45s	100	1	6521
r	816	243	10	10	0	0	45s	100	1	6521
r	796	244	10	10	0	0	45s	100	1	6521
r	840	249	10	10	0	0	45s	100	1	6521
r	873	248	10	10	0	0	45s	100	1	6521
r	862	259	10	10	0	0	45s	100	1	6521
r	829	264	10	10	0	0	45s	100	1	6521
r	825	275	10	10	0	0	45s	100	1	6521
r	848	282	10	10	0	0	45s	100	1	6521
r	858	272	10	10	0	0	45s	100	1	6521
r	868	293	10	10	0	0	45s	100	1	6521
r	844	299	10	10	0	0	45s	100	1	6521
r	866	314	10	10	0	0	45s	100	1	6521
r	881	329	10	10	0	0	45s	100	1	6521
r	905	328	10	10	0	0	45s	100	1	6521
r	926	317	10	10	0	0	45s	100	1	6521
r	943	298	10	10	0	0	45s	100	1	6521
r	954	284	10	10	0	0	45s	100	1	6521
r	933	276	10	10	0	0	45s	100	1	6521
r	913	267	10	10	0	0	45s	100	1	6521
r	927	258	10	10	0	0	45s	100	1	6521
r	908	229	10	10	0	0	45s	100	1	6521
r	927	195	10	10	0	0	45s	100	1	6521
r	959	185	10	10	0	0	45s	100	1	6521
r	945	169	10	10	0	0	45s	100	1	6521
r	943	146	10	10	0	0	45s	100	1	6521
