//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	1000	150	100	100	0	0	1800s	100	1	8071
m	1315	740	100	100	0	0	1800s	100	1	8071
m	1045	295	100	100	0	0	1800s	100	1	8071
m	210	1200	100	100	0	0	1800s	100	1	8072
m	420	980	100	100	0	0	1800s	100	1	8072
m	220	820	100	100	0	0	1800s	100	1	8072
m	520	780	100	100	0	0	1800s	100	1	8072
m	980	880	100	100	0	0	1800s	100	1	8072
m	1270	1220	100	100	0	0	1800s	100	1	8072
m	350	1030	100	100	0	0	1800s	100	1	8072
m	660	1000	100	100	0	0	1800s	100	1	8072
m	610	1360	100	100	0	0	1800s	100	1	8072
m	240	330	100	100	0	0	1800s	100	1	8073
m	440	230	100	100	0	0	1800s	100	1	8073
m	400	435	100	100	0	0	1800s	100	1	8073
