//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	194	1043	100	100	0	0	1850s	100	1	8052
m	248	930	100	100	0	0	1850s	100	1	8052
m	162	675	100	100	0	0	1850s	100	1	8053
m	548	1309	100	100	0	0	1850s	100	1	8053
m	317	533	100	100	0	0	1850s	100	1	8052
m	387	712	100	100	0	0	1850s	100	1	8053
m	631	1408	100	100	0	0	1850s	100	1	8052
m	374	993	100	100	0	0	1850s	100	1	8052
m	479	976	100	100	0	0	1850s	100	1	8053
m	669	1252	100	100	0	0	1850s	100	1	8053
m	639	884	100	100	0	0	1850s	100	1	8052
m	541	696	100	100	0	0	1850s	100	1	8053
m	531	506	100	100	0	0	1850s	100	1	8052
m	107	1127	100	100	0	0	1850s	100	1	8052
m	569	304	100	100	0	0	1850s	100	1	8053
m	422	395	100	100	0	0	1850s	100	1	8052
m	177	1366	100	100	0	0	1850s	100	1	8052
m	479	181	100	100	0	0	1850s	100	1	8053
m	281	1103	100	100	0	0	1850s	100	1	8053
m	560	102	100	100	0	0	1850s	100	1	8052
m	669	174	100	100	0	0	1850s	100	1	8053
m	667	410	100	100	0	0	1850s	100	1	8052
m	106	1248	100	100	0	0	1850s	100	1	8053
m	401	844	100	100	0	0	1850s	100	1	8053
m	160	469	100	100	0	0	1850s	100	1	8052
m	554	1144	100	100	0	0	1850s	100	1	8052
m	227	851	100	100	0	0	1850s	100	1	8053





r	587	151	100	100	0	0	1200s	100	1	2008
r	324	267	100	100	0	0	1200s	100	1	2008
r	608	881	100	100	0	0	1200s	100	1	2008
r	607	1124	100	100	0	0	1200s	100	1	2008
r	461	1350	100	100	0	0	1200s	100	1	2008
r	648	422	100	100	0	0	1200s	100	1	2008
r	557	673	100	100	0	0	1200s	100	1	2008
r	429	1037	100	100	0	0	1200s	100	1	2008
r	634	1392	100	100	0	0	1200s	100	1	2008
r	315	1311	100	100	0	0	1200s	100	1	2008
