//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	296	1033	100	100	0	0	1850s	100	1	8051
m	298	874	100	100	0	0	1850s	100	1	8052
m	245	725	100	100	0	0	1850s	100	1	8051
m	371	784	100	100	0	0	1850s	100	1	8052
m	238	566	100	100	0	0	1850s	100	1	8051
m	230	294	100	100	0	0	1850s	100	1	8052
m	423	433	100	100	0	0	1850s	100	1	8051
m	583	584	100	100	0	0	1850s	100	1	8052
m	706	828	100	100	0	0	1850s	100	1	8051
m	919	994	100	100	0	0	1850s	100	1	8052
m	1232	1209	100	100	0	0	1850s	100	1	8051
m	1176	1346	100	100	0	0	1850s	100	1	8052
m	1370	1028	100	100	0	0	1850s	100	1	8051
m	1385	878	100	100	0	0	1850s	100	1	8051
m	1235	751	100	100	0	0	1850s	100	1	8052
m	1131	850	100	100	0	0	1850s	100	1	8051
m	990	715	100	100	0	0	1850s	100	1	8051
m	836	644	100	100	0	0	1850s	100	1	8052
m	887	381	100	100	0	0	1850s	100	1	8051
m	689	248	100	100	0	0	1850s	100	1	8052
m	1194	224	100	100	0	0	1850s	100	1	8051
m	1320	430	100	100	0	0	1850s	100	1	8052
m	1060	405	100	100	0	0	1850s	100	1	8051
m	1360	222	100	100	0	0	1850s	100	1	8052



//ine_regen_¿ëµÎ°ù										

r	403	840	100	100	0	0	1200s	100	1	2008
r	558	577	100	100	0	0	1200s	100	1	2008
r	1042	1250	100	100	0	0	1200s	100	1	2008
r	1348	1027	100	100	0	0	1200s	100	1	2008
r	1318	209	100	100	0	0	1200s	100	1	2008
r	263	490	100	100	0	0	1200s	100	1	2008
r	707	830	100	100	0	0	1200s	100	1	2008
r	1212	1256	100	100	0	0	1200s	100	1	2008
r	1391	857	100	100	0	0	1200s	100	1	2008
r	1170	769	100	100	0	0	1200s	100	1	2008
