//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	438	259	100	100	0	0	1850s	100	1	8054
m	169	169	100	100	0	0	1850s	100	1	8056
m	148	329	100	100	0	0	1850s	100	1	8054
m	164	474	100	100	0	0	1850s	100	1	8056
m	325	573	100	100	0	0	1850s	100	1	8054
m	377	779	100	100	0	0	1850s	100	1	8056
m	493	594	100	100	0	0	1850s	100	1	8054
m	663	602	100	100	0	0	1850s	100	1	8056
m	738	822	100	100	0	0	1850s	100	1	8054
m	825	162	100	100	0	0	1850s	100	1	8056
m	770	322	100	100	0	0	1850s	100	1	8054
m	897	255	100	100	0	0	1850s	100	1	8056
m	1161	332	100	100	0	0	1850s	100	1	8054
m	1233	472	100	100	0	0	1850s	100	1	8056
m	1508	374	100	100	0	0	1850s	100	1	8054
m	1440	211	100	100	0	0	1850s	100	1	8056
m	1387	325	100	100	0	0	1850s	100	1	8054
m	1427	693	100	100	0	0	1850s	100	1	8056
m	555	833	100	100	0	0	1850s	100	1	8054
m	605	304	100	100	0	0	1850s	100	1	8056

//mine_regen_È¿¹«¸²										

r	1035	199	100	100	0	0	1200s	100	1	2008
r	1437	353	100	100	0	0	1200s	100	1	2008
r	990	801	100	100	0	0	1200s	100	1	2008
r	538	820	100	100	0	0	1200s	100	1	2008
r	138	207	100	100	0	0	1200s	100	1	2008
r	1205	329	100	100	0	0	1200s	100	1	2008
r	1544	721	100	100	0	0	1200s	100	1	2008
r	740	720	100	100	0	0	1200s	100	1	2008
r	281	593	100	100	0	0	1200s	100	1	2008
r	468	186	100	100	0	0	1200s	100	1	2008
