//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	262	926	0	0	0	0	60s	100	1	20394
m	83	851	0	0	0	1	60s	100	1	20419
m	263	933	0	0	0	6	60s	100	1	40005

m	103	1444	0	0	0	0	1m	100	1	10008
m	76 	60  	0	0	0	0	1m	100	1	10010
m	1458	751	0	0	0	0	1m	100	1	10012

r	1393	179	100	100	0	0	3550s	100	1	2005
r	510	276	100	100	0	0	3555s	100	1	2005
r	653	378	100	100	0	0	3560s	100	1	2005
r	936	474	100	100	0	0	3565s	100	1	2005
r	877	487	100	100	0	0	3570s	100	1	2005
r	671	815	100	100	0	0	3575s	100	1	2005
r	77	863	100	100	0	0	3580s	100	1	2005
r	1303	1019	100	100	0	0	3585s	100	1	2005
r	1266	1089	100	100	0	0	3590s	100	1	2005
r	368	1153	100	100	0	0	3595s	100	1	2005
r	1005	1185	100	100	0	0	3600s	100	1	2005
r	949	1378	100	100	0	0	3605s	100	1	2005
r	903	1416	100	100	0	0	3610s	100	1	2005

