//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	330	70	10	10	0	0	90s	100	1	7001
r	355	67	10	10	0	0	90s	100	1	7001
r	384	69	10	10	0	0	90s	100	1	7001
r	369	68	10	10	0	0	90s	100	1	7001
r	400	77	10	10	0	0	90s	100	1	7001
r	411	70	10	10	0	0	90s	100	1	7001
r	411	87	10	10	0	0	90s	100	1	7001
r	426	83	10	10	0	0	90s	100	1	7001
r	440	92	10	10	0	0	90s	100	1	7001
r	467	92	10	10	0	0	90s	100	1	7001
r	508	91	10	10	0	0	90s	100	1	7001
r	485	99	10	10	0	0	90s	100	1	7001
r	488	112	10	10	0	0	90s	100	1	7001
r	509	117	10	10	0	0	90s	100	1	7001
r	529	119	10	10	0	0	90s	100	1	7001
r	547	143	10	10	0	0	90s	100	1	7001
r	567	158	10	10	0	0	90s	100	1	7001
r	576	155	10	10	0	0	90s	100	1	7001
r	560	132	10	10	0	0	90s	100	1	7001
r	579	133	10	10	0	0	90s	100	1	7001
r	602	150	10	10	0	0	90s	100	1	7001
r	632	158	10	10	0	0	90s	100	1	7001
r	668	170	10	10	0	0	90s	100	1	7001
r	636	168	10	10	0	0	90s	100	1	7001
r	619	188	10	10	0	0	90s	100	1	7001
r	609	210	10	10	0	0	90s	100	1	7001
r	624	220	10	10	0	0	90s	100	1	7001
r	648	163	10	10	0	0	90s	100	1	7001
r	679	182	10	10	0	0	90s	100	1	7001
r	708	187	10	10	0	0	90s	100	1	7001
r	725	195	10	10	0	0	90s	100	1	7001
r	738	205	10	10	0	0	90s	100	1	7001
r	764	230	10	10	0	0	90s	100	1	7001
r	767	246	10	10	0	0	90s	100	1	7001
r	760	266	10	10	0	0	90s	100	1	7001
r	754	269	10	10	0	0	90s	100	1	7001
r	748	256	10	10	0	0	90s	100	1	7001
r	735	233	10	10	0	0	90s	100	1	7001
r	714	222	10	10	0	0	90s	100	1	7001
r	735	259	10	10	0	0	90s	100	1	7001
r	721	292	10	10	0	0	90s	100	1	7001
r	701	295	10	10	0	0	90s	100	1	7001
r	668	285	10	10	0	0	90s	100	1	7001
r	636	275	10	10	0	0	90s	100	1	7001
r	600	275	10	10	0	0	90s	100	1	7001
r	582	295	10	10	0	0	90s	100	1	7001
