//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	1247	491	50	50	0	0	1800s	100	1	60587
m	1139	622	50	50	0	0	1800s	100	1	60587
m	1067	459	50	50	0	0	1800s	100	1	60587
m	416	520	50	50	0	0	1800s	100	1	60587
m	279	468	50	50	0	0	1800s	100	1	60587
m	202	523	50	50	0	0	1800s	100	1	60587
m	213	181	50	50	0	0	1800s	100	1	60587
m	186	267	50	50	0	0	1800s	100	1	60587
m	423	194	50	50	0	0	1800s	100	1	60587
m	515	260	50	50	0	0	1800s	100	1	60587
m	757	222	50	50	0	0	1800s	100	1	60587
m	1003	303	50	50	0	0	1800s	100	1	60587
m	631	406	50	50	0	0	1800s	100	1	60587
m	1156	269	50	50	0	0	1800s	100	1	60587
m	379	378	50	50	0	0	1800s	100	1	60587
