//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
m	283	510	150	200	0	0	1850s	100	1	8054
m	130	540	150	200	0	0	1850s	100	1	8054
m	338	1325	150	200	0	0	1850s	100	1	8054
m	281	427	150	200	0	0	1850s	100	1	8054
m	178	231	150	200	0	0	1850s	100	1	8054
m	417	213	150	200	0	0	1850s	100	1	8054
m	751	122	150	200	0	0	1850s	100	1	8054
m	725	380	150	200	0	0	1850s	100	1	8054
m	631	231	150	200	0	0	1850s	100	1	8054
m	836	297	150	200	0	0	1850s	100	1	8054
m	929	584	150	200	0	0	1850s	100	1	8054
m	670	1100	150	200	0	0	1850s	100	1	8054
m	654	1162	150	200	0	0	1850s	100	1	8054
m	593	1065	150	200	0	0	1850s	100	1	8054
m	716	795	150	200	0	0	1850s	100	1	8054
m	729	649	150	200	0	0	1850s	100	1	8054
m	783	125	150	200	0	0	1850s	100	1	8054
m	380	160	150	200	0	0	1850s	100	1	8054
m	212	786	150	200	0	0	1850s	100	1	8054
m	283	510	150	200	0	0	1850s	100	1	8055
m	130	540	150	200	0	0	1850s	100	1	8055
m	338	1325	150	200	0	0	1850s	100	1	8055
m	281	427	150	200	0	0	1850s	100	1	8055
m	178	231	150	200	0	0	1850s	100	1	8055
m	417	213	150	200	0	0	1850s	100	1	8055
m	751	122	150	200	0	0	1850s	100	1	8055
m	725	380	150	200	0	0	1850s	100	1	8055
m	631	231	150	200	0	0	1850s	100	1	8055
m	836	297	150	200	0	0	1850s	100	1	8055
m	929	584	150	200	0	0	1850s	100	1	8055
m	670	1100	150	200	0	0	1850s	100	1	8055
m	654	1162	150	200	0	0	1850s	100	1	8055
m	593	1065	150	200	0	0	1850s	100	1	8055
m	716	795	150	200	0	0	1850s	100	1	8055
m	729	649	150	200	0	0	1850s	100	1	8055
m	783	125	150	200	0	0	1850s	100	1	8055
m	380	160	150	200	0	0	1850s	100	1	8055
m	212	786	150	200	0	0	1850s	100	1	8055


r	169	1239	100	100	0	0	90s	100	1	2008
r	321	1048	100	100	0	0	90s	100	1	2008
r	343	829	100	100	0	0	90s	100	1	2008
r	142	789	100	100	0	0	90s	100	1	2008
r	215	490	100	100	0	0	90s	100	1	2008
r	360	277	100	100	0	0	90s	100	1	2008
r	142	206	100	100	0	0	90s	100	1	2008
r	574	793	100	100	0	0	90s	100	1	2008
r	871	114	100	100	0	0	90s	100	1	2008
r	837	797	100	100	0	0	90s	100	1	2008
r	731	605	100	100	0	0	90s	100	1	2008
r	824	1125	100	100	0	0	90s	100	1	2008
r	600	1162	100	100	0	0	90s	100	1	2008
r	842	1403	100	100	0	0	90s	100	1	2008
r	531	162	100	100	0	0	90s	100	1	2008
