//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	547	566	10	10	0	0	45s	100	1	7101
r	554	545	10	10	0	0	45s	100	1	7101
r	529	562	10	10	0	0	45s	100	1	7101
r	540	549	10	10	0	0	45s	100	1	7101
r	515	547	10	10	0	0	45s	100	1	7101
r	516	524	10	10	0	0	45s	100	1	7101
r	508	511	10	10	0	0	45s	100	1	7101
r	488	506	10	10	0	0	45s	100	1	7101
r	492	533	10	10	0	0	45s	100	1	7101
r	509	561	10	10	0	0	45s	100	1	7101
r	480	543	10	10	0	0	45s	100	1	7101
r	443	562	10	10	0	0	45s	100	1	7101
r	451	552	10	10	0	0	45s	100	1	7101
r	459	540	10	10	0	0	45s	100	1	7101
r	428	550	10	10	0	0	45s	100	1	7101
r	409	540	10	10	0	0	45s	100	1	7101
r	407	530	10	10	0	0	45s	100	1	7101
r	427	539	10	10	0	0	45s	100	1	7101
r	462	543	10	10	0	0	45s	100	1	7101
r	487	540	10	10	0	0	45s	100	1	7101
r	532	547	10	10	0	0	45s	100	1	7101
r	558	530	10	10	0	0	45s	100	1	7101
r	558	516	10	10	0	0	45s	100	1	7101
r	572	514	10	10	0	0	45s	100	1	7101
r	573	549	10	10	0	0	45s	100	1	7101
r	569	562	10	10	0	0	45s	100	1	7101
r	584	552	10	10	0	0	45s	100	1	7101
r	590	544	10	10	0	0	45s	100	1	7101
r	604	537	10	10	0	0	45s	100	1	7101
r	613	528	10	10	0	0	45s	100	1	7101
r	629	520	10	10	0	0	45s	100	1	7101
r	634	515	10	10	0	0	45s	100	1	7101
r	636	506	10	10	0	0	45s	100	1	7101
r	622	498	10	10	0	0	45s	100	1	7101
r	608	517	10	10	0	0	45s	100	1	7101
r	590	520	10	10	0	0	45s	100	1	7101
r	586	526	10	10	0	0	45s	100	1	7101
r	570	509	10	10	0	0	45s	100	1	7101
r	571	487	10	10	0	0	45s	100	1	7101
r	562	475	10	10	0	0	45s	100	1	7101
r	557	470	10	10	0	0	45s	100	1	7101
r	541	446	10	10	0	0	45s	100	1	7101
r	528	439	10	10	0	0	45s	100	1	7101
r	522	455	10	10	0	0	45s	100	1	7101
r	541	457	10	10	0	0	45s	100	1	7101
r	550	459	10	10	0	0	45s	100	1	7101
r	533	468	10	10	0	0	45s	100	1	7101
r	539	476	10	10	0	0	45s	100	1	7101
r	554	488	10	10	0	0	45s	100	1	7101
r	557	502	10	10	0	0	45s	100	1	7101
r	551	514	10	10	0	0	45s	100	1	7101
r	553	526	10	10	0	0	45s	100	1	7101
r	574	522	10	10	0	0	45s	100	1	7101
r	498	544	10	10	0	0	45s	100	1	7101
r	478	557	10	10	0	0	45s	100	1	7101
r	468	561	10	10	0	0	45s	100	1	7101
r	474	535	10	10	0	0	45s	100	1	7101
r	480	527	10	10	0	0	45s	100	1	7101
r	484	520	10	10	0	0	45s	100	1	7101
r	468	529	10	10	0	0	45s	100	1	7101
r	451	537	10	10	0	0	45s	100	1	7101
r	439	544	10	10	0	0	45s	100	1	7101
r	437	553	10	10	0	0	45s	100	1	7101
r	425	556	10	10	0	0	45s	100	1	7101
r	418	553	10	10	0	0	45s	100	1	7101
r	512	561	10	10	0	0	45s	100	1	7101
r	520	565	10	10	0	0	45s	100	1	7101
r	522	571	10	10	0	0	45s	100	1	7101
r	521	551	10	10	0	0	45s	100	1	7101
r	599	551	10	10	0	0	45s	100	1	7101
r	608	533	10	10	0	0	45s	100	1	7101
r	621	519	10	10	0	0	45s	100	1	7101
r	619	510	10	10	0	0	45s	100	1	7101
r	601	509	10	10	0	0	45s	100	1	7101
r	609	502	10	10	0	0	45s	100	1	7101
r	641	502	10	10	0	0	45s	100	1	7101
r	644	490	10	10	0	0	45s	100	1	7101
r	399	508	10	10	0	0	45s	100	1	7101
r	407	501	10	10	0	0	45s	100	1	7101
r	415	490	10	10	0	0	45s	100	1	7101
r	417	485	10	10	0	0	45s	100	1	7101
r	419	473	10	10	0	0	45s	100	1	7101
r	421	462	10	10	0	0	45s	100	1	7101
r	427	456	10	10	0	0	45s	100	1	7101
r	420	447	10	10	0	0	45s	100	1	7101
r	412	442	10	10	0	0	45s	100	1	7101
r	410	432	10	10	0	0	45s	100	1	7101
r	408	425	10	10	0	0	45s	100	1	7101
r	406	424	10	10	0	0	45s	100	1	7101
r	398	423	10	10	0	0	45s	100	1	7101
r	396	418	10	10	0	0	45s	100	1	7101
r	391	408	10	10	0	0	45s	100	1	7101
r	516	367	10	10	0	0	45s	100	1	7101
r	524	367	10	10	0	0	45s	100	1	7101
r	534	370	10	10	0	0	45s	100	1	7101
r	529	377	10	10	0	0	45s	100	1	7101
r	531	380	10	10	0	0	45s	100	1	7101
r	544	385	10	10	0	0	45s	100	1	7101
r	559	397	10	10	0	0	45s	100	1	7101
r	570	406	10	10	0	0	45s	100	1	7101
r	573	417	10	10	0	0	45s	100	1	7101
r	567	424	10	10	0	0	45s	100	1	7101
r	582	430	10	10	0	0	45s	100	1	7101
r	593	433	10	10	0	0	45s	100	1	7101
