//type	cx	cy	sx	sy	z	dir	time	percent	count	vnum
//----------------------------------------------------------
r	132	105	5	5	0	0	45s	100	1	6586
r	133	118	5	5	0	0	45s	100	1	6587
r	117	121	5	5	0	0	45s	100	1	6588
r	112	130	5	5	0	0	45s	100	1	6586
r	111	137	5	5	0	0	45s	100	1	6587
r	118	150	5	5	0	0	45s	100	1	6588
r	107	160	5	5	0	0	45s	100	1	6586
r	96	171	5	5	0	0	45s	100	1	6587
r	115	194	5	5	0	0	45s	100	1	6588
r	107	174	5	5	0	0	45s	100	1	6586
r	86	183	5	5	0	0	45s	100	1	6587
r	71	191	5	5	0	0	45s	100	1	6588
r	100	190	5	5	0	0	45s	100	1	6586
r	122	178	5	5	0	0	45s	100	1	6587
r	125	193	5	5	0	0	45s	100	1	6588
r	128	204	5	5	0	0	45s	100	1	6586
r	144	212	5	5	0	0	45s	100	1	6587
r	155	221	5	5	0	0	45s	100	1	6588
r	174	223	5	5	0	0	45s	100	1	6586
r	189	226	5	5	0	0	45s	100	1	6587
r	205	232	5	5	0	0	45s	100	1	6588
r	225	235	5	5	0	0	45s	100	1	6586
r	243	223	5	5	0	0	45s	100	1	6587
r	230	211	5	5	0	0	45s	100	1	6588
r	228	205	5	5	0	0	45s	100	1	6586
r	238	199	5	5	0	0	45s	100	1	6587
r	237	185	5	5	0	0	45s	100	1	6588
r	232	165	5	5	0	0	45s	100	1	6586
r	247	164	5	5	0	0	45s	100	1	6587
r	232	144	5	5	0	0	45s	100	1	6588
r	229	140	5	5	0	0	45s	100	1	6586
r	238	129	5	5	0	0	45s	100	1	6587
r	235	109	5	5	0	0	45s	100	1	6588
r	224	132	5	5	0	0	45s	100	1	6586
r	232	129	5	5	0	0	45s	100	1	6587
r	233	103	5	5	0	0	45s	100	1	6588
r	231	81	5	5	0	0	45s	100	1	6586
r	225	83	5	5	0	0	45s	100	1	6587
r	220	102	5	5	0	0	45s	100	1	6588
r	218	105	5	5	0	0	45s	100	1	6586
r	210	85	5	5	0	0	45s	100	1	6587
r	194	89	5	5	0	0	45s	100	1	6588
r	192	103	5	5	0	0	45s	100	1	6586
r	173	106	5	5	0	0	45s	100	1	6587
r	160	98	5	5	0	0	45s	100	1	6588
r	150	110	5	5	0	0	45s	100	1	6586
r	177	111	5	5	0	0	45s	100	1	6587
r	157	118	5	5	0	0	45s	100	1	6588
r	135	125	5	5	0	0	45s	100	1	6586
r	119	134	5	5	0	0	45s	100	1	6587
r	244	250	5	5	0	0	45s	100	1	6588
r	246	255	5	5	0	0	45s	100	1	6586
r	260	262	5	5	0	0	45s	100	1	6587
r	277	282	5	5	0	0	45s	100	1	6588
r	264	298	5	5	0	0	45s	100	1	6586
r	249	304	5	5	0	0	45s	100	1	6587
r	247	320	5	5	0	0	45s	100	1	6588
r	238	336	5	5	0	0	45s	100	1	6586
r	233	348	5	5	0	0	45s	100	1	6587
r	211	347	5	5	0	0	45s	100	1	6588
r	208	337	5	5	0	0	45s	100	1	6586
r	194	334	5	5	0	0	45s	100	1	6587
r	185	342	5	5	0	0	45s	100	1	6588
r	167	349	5	5	0	0	45s	100	1	6586
r	194	362	5	5	0	0	45s	100	1	6587
r	208	362	5	5	0	0	45s	100	1	6588
r	203	380	5	5	0	0	45s	100	1	6586
r	187	404	5	5	0	0	45s	100	1	6587
r	169	412	5	5	0	0	45s	100	1	6588
r	186	385	5	5	0	0	45s	100	1	6586
r	174	390	5	5	0	0	45s	100	1	6587
r	161	400	5	5	0	0	45s	100	1	6588
r	169	407	5	5	0	0	45s	100	1	6586
r	141	369	5	5	0	0	45s	100	1	6587
r	129	386	5	5	0	0	45s	100	1	6588
r	119	398	5	5	0	0	45s	100	1	6586
r	116	408	5	5	0	0	45s	100	1	6587
r	215	382	5	5	0	0	45s	100	1	6588
r	199	399	5	5	0	0	45s	100	1	6586
r	190	420	5	5	0	0	45s	100	1	6587
r	170	435	5	5	0	0	45s	100	1	6588
r	159	444	5	5	0	0	45s	100	1	6586
r	138	458	5	5	0	0	45s	100	1	6587
r	135	462	5	5	0	0	45s	100	1	6588
r	106	470	5	5	0	0	45s	100	1	6586
r	95	470	5	5	0	0	45s	100	1	6587
r	103	455	5	5	0	0	45s	100	1	6588
r	110	461	5	5	0	0	45s	100	1	6586
r	130	441	5	5	0	0	45s	100	1	6587
r	136	433	5	5	0	0	45s	100	1	6588
r	146	427	5	5	0	0	45s	100	1	6586
r	152	421	5	5	0	0	45s	100	1	6587
r	159	405	5	5	0	0	45s	100	1	6588
r	171	390	5	5	0	0	45s	100	1	6586
r	178	445	5	5	0	0	45s	100	1	6587
r	150	467	5	5	0	0	45s	100	1	6588
r	129	494	5	5	0	0	45s	100	1	6586
r	130	525	5	5	0	0	45s	100	1	6587
r	143	546	5	5	0	0	45s	100	1	6588
r	160	550	5	5	0	0	45s	100	1	6586
r	177	556	5	5	0	0	45s	100	1	6587
r	208	575	5	5	0	0	45s	100	1	6588
r	214	582	5	5	0	0	45s	100	1	6586
r	221	590	5	5	0	0	45s	100	1	6587
r	194	577	5	5	0	0	45s	100	1	6588
r	175	561	5	5	0	0	45s	100	1	6586
r	130	539	5	5	0	0	45s	100	1	6587
r	241	490	5	5	0	0	45s	100	1	6588
r	250	492	5	5	0	0	45s	100	1	6586
r	256	492	5	5	0	0	45s	100	1	6587
r	258	493	5	5	0	0	45s	100	1	6588
r	259	506	5	5	0	0	45s	100	1	6586
