Group	Cofre_Dioses_Egipcios			
{				
	Vnum	33028		
	1	80017	1	1
	2	180	1	15
	3	3160	1	15
	4	1130	1	15
	5	2170	1	15
	6	5120	1	15
	7	7180	1	15
	8	12010	1	15
	9	12020	1	15
	10	12030	1	15
	11	12040	1	15
	12	114000	1	25
	13	124000	1	25
	14	134000	1	25
	15	144000	1	25
	16	154000	1	25
	17	164000	1	25
	18	28595	1	15
	19	28596	1	15
	20	28597	1	15
	21	28598	1	15
	22	28599	1	15
	23	28600	1	15
	24	28601	1	15
	25	28602	1	15
	26	28603	1	15
	27	28544	1	10
	28	90000	1	10
	29	85002	1	10
	30	85006	1	10
	31	85012	1	10
	32	85016	1	10
	33	85022	1	10
}				
Group	Cofre_HaeTae			
{				
	Vnum	50080		
	1	25041	1	30
	2	57	1	25
	3	3047	1	25
	4	1027	1	25
	5	2047	1	25
	6	227	1	25
	7	5027	1	25
	8	7047	1	25
	9	11227	1	35
	10	11427	1	35
	11	11627	1	35
	12	11827	1	35
	13	13043	1	20
	14	12227	1	10
	15	12367	1	10
	16	12507	1	10
	17	12647	1	10
	18	51503	5	35
	19	51511	5	35
	20	51512	5	35
	21	51513	5	35
	22	51514	5	35
	23	51515	5	35
	24	51516	5	35
	25	71015	1	20
	26	71016	1	20
	27	71017	1	20
	28	70063	3	45
	29	70064	3	75
}				
Group	Cofre_Capitan_Bestial			
{				
	Vnum	50070		
	1	25041	1	30
	2	297	1	80
	3	3217	1	80
	4	1177	1	80
	5	2157	1	80
	6	5117	1	80
	7	7167	1	80
	8	11247	1	60
	9	11447	1	60
	10	11647	1	60
	11	11847	1	60
	12	13047	1	70
	13	12227	1	60
	14	12367	1	60
	15	12507	1	60
	16	12647	1	60
	17	51503	7	35
	18	51511	7	35
	19	51512	7	35
	20	51513	7	35
	21	51514	7	35
	22	51515	7	35
	23	51516	7	35
	24	71015	1	20
	25	71016	1	20
	26	71017	1	20
	27	70063	3	45
	28	70064	3	75
}				
Group	Cofre_Jefe_Orco			
{
	Vnum	50071		
	1	25041	1	30
	2	127	1	25
	3	3117	1	25
	4	1087	1	25
	5	2117	1	25
	6	237	1	25
	7	5077	1	25
	8	7117	1	25
	9	11267	1	35
	10	11467	1	35
	11	11667	1	35
	12	11867	1	35
	13	13067	1	20
	14	13087	1	20
	15	13107	1	20
	16	13127	1	20
	17	12247	1	10
	18	12387	1	10
	19	12527	1	10
	20	12667	1	10
	21	51541	3	35
	22	51542	3	35
	23	51543	3	35
	24	51544	3	35
	25	51545	3	35
	26	51546	3	35
	27	51547	3	35
	28	71015	1	20
	29	71016	1	20
	30	71017	1	20
	31	70063	3	45
	32	70064	3	75
}				
Group	Cofre_Lider_Oscuro			
{				
	Vnum	50072		
	1	25041	1	30
	2	127	1	25
	3	3117	1	25
	4	1087	1	25
	5	2117	1	25
	6	237	1	25
	7	5077	1	25
	8	7117	1	25
	9	11277	1	35
	10	11477	1	35
	11	11677	1	35
	12	11877	1	35
	13	15167	1	20
	14	15187	1	20
	15	15207	1	20
	16	15227	1	20
	17	12247	1	10
	18	12387	1	10
	19	12527	1	10
	20	12667	1	10
	21	51541	3	35
	22	51542	3	35
	23	51543	3	35
	24	51544	3	35
	25	51545	3	35
	26	51546	3	35
	27	51547	3	35
	28	71015	1	20
	29	71016	1	20
	30	71017	1	20
	31	70063	3	45
	32	70064	3	75
}				
Group	Cofre_Tortuga_Gig			
{				
	Vnum	50076		
	1	25041	1	30
	2	127	1	25
	3	3117	1	25
	4	1087	1	25
	5	2117	1	25
	6	237	1	25
	7	5077	1	25
	8	7117	1	25
	9	11267	1	35
	10	11467	1	35
	11	11667	1	35
	12	11867	1	35
	13	13067	1	20
	14	13087	1	20
	15	13107	1	20
	16	13127	1	20
